filename,caption
C--9A0UyMiA-2.mp4,"Two powerful protocols for dream recall and nightmare release, shared by @hubermanlab after learning them from @rickrubin. The fascinating part? Both techniques align with the body's natural paralysis during REM sleep—when our most emotionally intense dreams occur. While solid science exists on dreaming mechanics, these specific methods haven't been formally studied... yet. Through @scicommedia, the company Huberman co-founded, research is currently underway on NSDR, depression treatments, eating disorders, neuro-immune connections, autism, and reproductive health—with plans to eventually include dream studies. The mission: delivering actionable tools for mental health, physical performance, and overall wellbeing to everyone.

#neuroscience #science #ciencia #neurociencia #sleep #dreams #night #memory"
C--xFn7PtLE-1.mp4,"Your brain's protective coating depends on how fit you are—and the data is striking. New research reveals that VO2 max directly correlates with myelin integrity, the insulation around neurons that keeps cognitive function sharp. 

The findings from @foundmyfitness show a dramatic divide: people with peak fitness maintained optimal myelination until age 41, while those with low VO2 max saw their myelin levels collapse before turning 22—a nearly two-decade difference.

Middle-aged and older participants showed the strongest connection between cardiovascular fitness and myelin preservation across nearly every brain region tested. Poor fitness? Accelerated myelin breakdown.

Though the study establishes correlation rather than causation, the implications align with extensive research on exercise's neuroprotective effects. High-intensity interval training stands out as particularly effective for boosting VO2 max, though consistency with any activity you genuinely enjoy matters most.

For evidence-based protocols on cognitive enhancement through exercise and nutrition, visit bdnfprotocols.com.

#fitness #brainhealth

PMID: 39159379"
C-1Ft1uS2F6-1.mp4,"Looking at the crossover potential between the mats and the cage 🥋➡️🔥 @moreplatesmoredates breaks down which elite Jiu-Jitsu competitors have the skill set to make serious waves in MMA if they decided to transition. Not every grappling phenom can handle strikes, but these athletes might be built different.

#jiujitsu #mma #grappling #bjj #brazilianjiujitsu #mixedmartialarts #combat #fighting #ufc #submission #grapplers #martialarts #bjjlifestyle #jiujitsulifestyle #fighter #mmafighter"
C-21YjKRHFN-1.mp4,"The power of community meets authentic living this Wednesday, August 21st, and @tonyrobbins is opening the doors for everyone to join. Sage Robbins will be leading an incredible gathering of purpose-driven individuals who refuse to dim their light. This isn't just another event—it's where people from every background and identity come together to celebrate being unapologetically real. Drop ""SUMMIT"" in the comments and head to your DMs to claim your FREE spot! 💖✨

#community #authenticity #personalgrowth #empowerment #transformation #purpose #selflove #inspirationalwomen #growthmindset #beyourself #unstoppable"
C-2yZL1PUqL-1.mp4,".@theovon and Jessie Murph proving that the best conversations happen when two storytellers link up 🎤

#TheoVon #JessieMurph #PodcastClips #Storytelling #RealTalk #Comedy #Music"
C-2yZL1PUqL-2.mp4,".@theovon and Jessie Murph proving that the best conversations happen when two storytellers link up 🎤

#TheoVon #JessieMurph #PodcastClips #Storytelling #RealTalk #Comedy #Music"
C-3P5RMy13P-2.mp4,"DNA repair enzymes need magnesium to function properly—and the consequences of not getting enough are more serious than most people realize. @foundmyfitness breaks down research showing that low magnesium levels correlate with increased DNA damage in blood cells, which can trigger cancer-causing mutations. The numbers are startling: in a study of 66,000 participants, every 100 mg decrease in daily magnesium consumption raised pancreatic cancer risk by 24%. With more than half of Americans falling short on their magnesium intake, Dr. Patrick emphasizes the importance of incorporating magnesium-rich foods like cooked spinach and almonds into your diet. For those considering supplements, she recommends highly bioavailable forms such as magnesium citrate, malate, and glycinate for optimal absorption.

#magnesium #magnesiumdeficiency #cancer #cancerprevention #nutrition #healthylifestyle #wellness #longevity #supplements #healthtips"
C-7MKcBNDNh-1.mp4,"When purpose meets business, society wins. @simonsinek joins Holly Branson on the @virginstartup podcast for a conversation that goes beyond profit margins and growth metrics. Recorded during Virgin StartUp's 10th birthday celebration in London, the @ted Talk icon opens up about what it really means to build with intention. They tackle the tough questions—how do you actually find your purpose? How do founders create lasting impact? And why hope matters now more than ever. This #WorldEntrepreneurshipDay, tune into a discussion that celebrates the entrepreneurs shaping our world for the better. A decade down, and Virgin StartUp is just getting started. Link in @virginstartup's bio. 🎧

#WorldEntrepreneurshipDay #Entrepreneurialspirit #FounderInspiration #StartUpStories #StartupSuccess #VirginStartUp #VirginStartUpCommunity #SimonSinek #HollyBranson #VirginClass #Inspo #BusinessPodcast #PodcastForFounders"
C-7MKcBNDNh-2.mp4,"When purpose meets business, society wins. @simonsinek joins Holly Branson on the @virginstartup podcast for a conversation that goes beyond profit margins and growth metrics. Recorded during Virgin StartUp's 10th birthday celebration in London, the @ted Talk icon opens up about what it really means to build with intention. They tackle the tough questions—how do you actually find your purpose? How do founders create lasting impact? And why hope matters now more than ever. This #WorldEntrepreneurshipDay, tune into a discussion that celebrates the entrepreneurs shaping our world for the better. A decade down, and Virgin StartUp is just getting started. Link in @virginstartup's bio. 🎧

#WorldEntrepreneurshipDay #Entrepreneurialspirit #FounderInspiration #StartUpStories #StartupSuccess #VirginStartUp #VirginStartUpCommunity #SimonSinek #HollyBranson #VirginClass #Inspo #BusinessPodcast #PodcastForFounders"
C-9MTArR7aF-2.mp4,"@moreplatesmoredates breaks down the exact nutritional protocol Stan implemented for Gordon Ryan's transformation into peak physical condition 💪

The strategic approach to getting one of the sport's elite athletes absolutely jacked through precise dietary manipulation.

#gordonryan #stanefferding #bodybuilding #bjj #jiujitsu #grappling #mma #fitness #diet #nutrition #musclegrowth #athlete #sports #training"
C-BN4h4ys8j-2.mp4,"When @hubermanlab sat down with @thenineclub, the conversation turned to a fat loss strategy that's transformed the health of people who struggled for years. His approach centers on high-quality proteins from meat, fish, and eggs that naturally increase satiety and make caloric deficit easier to maintain. The key insight: some individuals can't regulate starchy carbohydrate intake once they begin eating them, linked to hypothalamic function he's explored in depth on his podcast. Combined with cardiovascular and resistance training, this method has helped numerous people shed significant fat and sustain those results long-term. While vegans and vegetarians would need modifications and any weight loss ultimately requires caloric deficit, the satiating power of quality proteins makes adherence dramatically more achievable for many.

#neuroscience #science #ciencia #neurociencia #nutrition #food #naturalfood #fruit #vegetables"
C-BRJM_ynX--2.mp4,"The Bitcoin Conference just dropped a clip that's getting everyone talking 👀

@theproblemdavesmith breaks down why most people completely miss the point about Bitcoin's real value proposition. It's not what you think.

Worth the watch if you've ever wondered what separates believers from skeptics.

🎥 @theproblemdavesmith

#Bitcoin #BitcoinConference #Crypto #Cryptocurrency #BTC #BitcoinNews #CryptoNews #DigitalCurrency #BlockchainTechnology #CryptoEducation #BitcoinEducation"
C-DdNUARvBW-2.mp4,"When it comes to building brand loyalty, most companies focus on what we see and hear—but @simonsinek explored a completely different dimension with @dawn_goldworm. She's the perfumer-turned-entrepreneur behind 12.29, crafting signature scents for icons like Lady Gaga, Ferrari, and even books. Her expertise? Understanding that smell triggers emotion and memory unlike any other sense. Years back, she helped Simon design the Scent of Optimism, and in their conversation, they dive into the art of composing fragrances from scratch and why this overlooked sense creates instant, lasting connections between humans and brands. Full podcast episode available now 🎧

#leadership #business #podcast #branding #entrepreneurship #innovation #scent #memory #brandloyalty"
C-EjtrQJcWY-1.mp4,"A month-long hiatus from deadlifts didn't stop @foundmyfitness from jumping back in with heavy sets plus drop sets, followed by a circuit that tested mental limits more than muscle—at least according to her coach @ziarohrbaugh who noted it was particularly demanding on the CNS. The workout? A 4-round gauntlet of 2 minutes on the Peloton, 21 front barbell squats with just the bar, and 12 pushups that had her fighting through doubt at every squat round. The DOMS hit hard afterward, so she's already ran it off and dosed Meriva phytosomal curcumin (backed by small studies for DOMS relief), with a hot tub session up next—but she's taking suggestions for recovery hacks.

#crossfit #deadlifts"
C-I6WBoyc2P-2.mp4,"Your heart rate responds instantly to how you breathe – @hubermanlab breaks down the exact mechanics behind this mind-body connection. The physiological sigh technique he discusses involves a double inhale through the nose followed by a long exhale through the mouth, which rapidly activates the parasympathetic nervous system for relaxation. On the flip side, emphasizing stronger, longer inhales creates alertness. Understanding these fundamentals gives you practical control over your nervous system in real-time. Credit to @sciepro.official for the visual breakdown – their physiology animations make complex concepts incredibly clear. Drop your questions below!

#neuroscience #science #ciencia #neurociencia #breathing #heart #exhale #respiratorysinusarrhythmia #phrenicnerve"
C-MH6COiw79-1.mp4,"The simplest truths hit hardest. @theproblemdavesmith breaks down why America doesn't need to pick sides or fund conflicts overseas—just stop sending the checks. No demonization required, just common sense foreign policy. 💯

#YALCON24 #DaveSmith #ForeignPolicy #AntiWar #NonIntervention #CommonSense #PoliticalClips #Liberty #Peace"
C-UCxaesoxU-1.mp4,"War profiteers rake in billions while everyday people bear the cost—and @theproblemdavesmith isn't letting anyone forget it. He breaks down exactly who's cashing in on conflict while the rest of us pay the price.

#warfare #militaryindustrialcomplex #wareconomy #geopolitics #followthemoney #corporategreed #politicalcorruption #systemicissues #criticalthinking #awareness"
C-bH-K1shdf-2.mp4,"Peterson's perspective challenges viewers to reconsider their stance on this topic. @jordanbpetersonfans shares thought-provoking moments like this that spark real conversation. What's your take?

#jordanpeterson #jordanpetersonquotes #jordanbpeterson #jordanbpetersonquotes #psychology #lifelessons #motivationday #tellthetruth #tellthetruthtuesday #speaktruth #speaktruthtopower #12rulesforlife #12morerulesforlife #orderandchaos #order #societyfeelings #jordanpetersononsociety #bookstagram #motivationday"
C-czcjCO-Gu-1.mp4,"Looking at Tim Ferriss's recommendation here – when someone like @timferriss says something's worth your time, you listen. This breakdown deserves attention, especially from the people it's directed at.

🎬 Film by @nirvanmullick
Featuring @lauren.taus
Edited @umuima
Produced by: @interconnected.media @dreammullick @brialight

#FDA #Documentary #MustWatch #TimFerriss #HealthcareReform #PublicHealth #Awareness #Documentary"
C-eCy-0vamV-1.mp4,"Dr. Martha Beck shares a transformative technique for building self empathy during her recent conversation with @hubermanlab. This episode has quickly become one of the podcast's most-shared discussions, packed with actionable tools for identifying core beliefs, distinguishing genuine empathy from codependency, and creating concrete pathways toward your ideal life. The full conversation with time-stamps is available at hubermanlab.com—drop your questions in the comments below.

@hubermanlab @stanford.med @stanford @themarthabeck

#neuroscience #science #ciencia #neurociencia #life #tools #empathy #self #others"
C-i3W11MILk-1.mp4,"The clip raises a thought-provoking perspective that challenges viewers to form their own stance on jordan.b.peterson's viewpoint. What's your take on this? 

Credit: @jordanbpetersonfans 

#jordanpeterson #jordanpetersonquotes #jordanbpeterson #jordanbpetersonquotes #psychology #lifelessons #motivationday #tellthetruth #tellthetruthtuesday #speaktruth #speaktruthtopower #12rulesforlife #12morerulesforlife #orderandchaos #order #societyfeelings #jordanpetersononsociety #bookstagram #motivationday"
C-lIl03y-Eb-1.mp4,"Dr. Layne Norton (@biolayne) joins @hubermanlab to cut through the noise on nutrition and fitness controversies that everyone's arguing about online. From seed oils to artificial sweeteners to training methods, he breaks down his exact framework for separating real evidence from hype. This conversation gets into the science behind what actually matters for your health—no matter your age or current fitness level. Full episode available at hubermanlab.com with timestamps to jump straight to what you need.

Drop your questions below 👇

@hubermanlab @stanford.med @stanford

#neuroscience #science #ciencia #neurociencia #nutrition #fitness #weighttraining #cardio #food #randomizedcontrolledtrials"
C-lJw_DyrZJ-2.mp4,"The question that's dividing the comments section right now ⚡

What's your take on jordan.b.peterson's perspective here? Drop your thoughts below while @jordanbpetersonfans keeps bringing these thought-provoking moments to the feed 👇

#jordanpeterson #jordanpetersonquotes #jordanbpeterson #jordanbpetersonquotes #psychology #lifelessons #motivationday #tellthetruth #tellthetruthtuesday #speaktruth #speaktruthtopower #12rulesforlife #12morerulesforlife #orderandchaos #order #societyfeelings #jordanpetersononsociety #bookstagram #motivationday"
C-niLBJIugl-1.mp4,"Tim Walz's push for nicotine taxes might have an unexpected motivation, according to this take from @theproblemdavesmith. The theory? There's a deliberate effort to suppress testosterone-boosting substances.

Full conversation available on TuckerCarson.com.

#TimWalz #TuckerCarlson #Testosterone #Politics #Nicotine #TaxPolicy #PoliticalDiscussion #FreedomOfChoice #Interview"
C-tMsPSS0Db-1.mp4,"The legendary @tonyrobbins continues to transform lives across the globe—whether through empowering entrepreneurs or those unforgettable banana hands moments that keep everyone laughing 🍌😂

Drop your @tonyrobbins experience in the comments—has his work changed your perspective or were you lucky enough to meet him in person? 👇

#TonyRobbins #SageRobbins #BetterTogether #PersonalGrowth #Connection"
C-zDBKCA-Io-2.mp4,"The B-Team just leveled up their health game 💉

Craig Jones and his crew are now partnering with Marek Health to maximize their performance and recovery. If you're at CJI, swing by the @marekhealth booth to learn how they're helping elite grapplers get their bloodwork and hormones dialed in.

Want the same optimization protocol? Head to MarekHealth.com

Via @moreplatesmoredates

#BJJ #Grappling #CraigJones #BTeam #MarekHealth #TRT #HRT #Optimization #Performance #MMA #NoGi #Jujitsu #BrazilianJiuJitsu #ADCC #CJI #Wrestling #SubmissionGrappling"
C018Fimuvpa-2.mp4,"The next time negativity walks into your life, @edmylett has the blueprint for handling it 🎯 This insight is a game-changer for protecting your energy and maintaining your peace. Full episode in bio.

@edmylettchange

#edmylett #edmylettshow #maxout #mindset #motivation #personaldevelopment #selfimprovement #growthmindset #successmindset #positivity #toxicpeople #boundaries #protectyourpeace #mentalhealth #selfcare"
C067lCIiS_w-1.mp4,"@edmylett breaks down why most people stay stuck in the same patterns year after year. The difference between dreamers and achievers? Action over overthinking. He's helped millions shift their mindset from ""someday"" to ""right now."" Worth the watch if you're ready to level up.

#edmylett #motivation #mindset #success #personaldevelopment #inspiration #selfimprovement #goals #motivationalspeaker #successmindset #growthmindset #entrepreneurmindset #hustlehard #motivationalquotes #successquotes #mindsetmatters #personalgrowth #selfgrowth #motivationmonday #successcoach"
C07T_-Qvkxu-1.mp4,"robertgreene believes that emotional resilience comes from embracing vulnerability, not avoiding it. In this conversation with @impacttheory, he breaks down why ""nice guy"" behavior backfires and reveals the real psychology behind attraction and influence.

#ImpactTheory #Relationships #emotionaldamage #lovehurts"
C0B5uWvh7iU-2.mp4,"Most entrepreneurs chase trends while the smart ones build empires in markets that never go out of style.

The secret? Evergreen categories where demand stays consistent year after year—no seasonal slumps, no wondering if your product will be relevant next quarter.

Credit: @foundr

#entrepreneur #business #businessowner #entrepreneurship #ecommerce #ecommercebusiness #shopify #shopifystore #ProductResearch #evergreen #marketing #marketingstrategy #digitalmarketing"
