filename,onscreen_text,post_caption
-1UnGQwl3B1P-1.mp4,"I love this generation
We have
Tax fraud
Chrome Hearts
GT3rs
Wifi money
Brunettes
Crypto
Dropshipping
Gambling",This generation isn't lostthey're strategically disrupting every system.
-1UnGQwl3B1P-2.mp4,"I love this generation
We have
Tax fraud
Chrome Hearts
Maybach
GT3rs
Wifi money
Brunettes
Crypto
Dropshipping
Gambling",Which of these would make you feel like you've truly made it in life?
-1UnGQwl3B1P-3.mp4,"I love this generation
We have
Tax fraud
Chrome Hearts
Maybach
GT3rs
Wifi money
Brunettes
Crypto
Dropshipping
Gambling","daddy chill, we're speedrunning capitalism and mental breakdown in one fell swoop"
-1UnGQwl3B1P-4.mp4,"I love this generation
We have
Tax fraud
Chrome Hearts
Maybach
GT3rS
Wifi money
Brunettes
Crypto
Dropshipping
Gambling","A generation defining success by chaos, rewriting the rules of ambition and survival."
-2RWt4WaZIf1-1.mp4,"Take risks.
If you win, you'll be happy.
If you lose, you'll be wiser.","Sometimes you just gotta roll the dice and trust the journey, even when it's scary."
-2RWt4WaZIf1-2.mp4,"Take risks.
If you win, you'll be happy.
If you lose, you'll be wiser.",Life's greatest lessons come from stepping out of your comfort zone.
-2RWt4WaZIf1-3.mp4,"Take risks.
If you win, you'll be happy.
If you lose, you'll be wiser.","Some paths lead to triumph, others to transformation. Choose wisely, or let fate decide."
-2RWt4WaZIf1-4.mp4,"Take risks.
If you win, you'll be happy.
If you lose, you'll be wiser.",Can't lose when you're playing the game of life. Risk is just another word for opportunity.
-7uqZuJ4gwPf-1.mp4,lazy people will never achieve this:,"Every small step matters. Progress isn't about perfection, but persistent effort."
-7uqZuJ4gwPf-2.mp4,"lazy people will never
achieve this:",Sometimes growth means pushing past comfort. Every small step counts.
-7uqZuJ4gwPf-3.mp4,lazy people will never achieve this:,"Success demands discipline, not talent. Lazy people choose comfort over growth and blame the world."
-7uqZuJ4gwPf-4.mp4,"lazy people will never
achieve this:","There's always room to grow and improve, one small step at a time."
-8pkAXxCWNME-1.mp4,"Success hits different
when nobody believed in you.",Rise above. Prove them wrong.
-8pkAXxCWNME-2.mp4,Success hits different when nobody believed in you.,Proof is louder than doubt. The journey belongs to those who persevere.
-8pkAXxCWNME-3.mp4,"Success hits different
when nobody believed in you.","Cool, sure. Validation from strangers: the ultimate life goal."
-8pkAXxCWNME-4.mp4,"Success hits different
when nobody believed in you.",Success is the ultimate revenge against every single doubter.
-gmjJLlUs2xS-1.mp4,Risking is better than regretting.,Do what scares you. Life's too short for what-ifs and maybes.
-gmjJLlUs2xS-2.mp4,Risking is better than regretting.,"Live bold, chase dreams. No looking back, only forward momentum."
-gmjJLlUs2xS-3.mp4,Risking is better than regretting.,"Life's too short to wonder ""what if."" Take the leap before the moment passes."
-gmjJLlUs2xS-4.mp4,Risking is better than regretting.,What risk are you holding back on because you're afraid of the unknown?
-GwRToBuf-xp-1.mp4,"Y'all get fomo when you friends go out to party!
I have fomo when im not
driving a lambo down
road to my
penthouse...",Some paths lead to more than just destinations.
-GwRToBuf-xp-2.mp4,Y'all get fomo when your friends go out party. I have fomo when im not driving a lambo down rodeo otw to my penthouse...,Don't just dream. Hustle harder. Your Lambo is waiting for you to take the wheel.
-GwRToBuf-xp-3.mp4,Y'all get fomo when your friends go out party. I have fomo when i'm not driving a lambo down rodeo city to my penthouse...,Living life on another level.
-GwRToBuf-xp-4.mp4,Y'all get fomo when your friends go out to party. I have fomo when im not driving a lambo down rodeo otw to my penthouse...,Think small or go home. What's stopping you from leveling up your success story?
-h55wsNjN0R3-1.mp4,"i started zoning out,
but it wasn't about my
past anymore. i was
worried about my future",Turning anxiety into ambition. My past doesn't define memy future does.
-h55wsNjN0R3-2.mp4,"i started zoning out,
but it wasn't about my
past anymore. i was
worried about my future",Ever feel stuck between what was and what could be?
-h55wsNjN0R3-3.mp4,"i started zoning out,
but it wasn't about my
past anymore. i was
worried about my future","When anxiety shifts from memories to possibilities, hope feels distant."
-h55wsNjN0R3-4.mp4,"i started zoning out,
but it wasn't about my
past anymore. i was
worried about my future","Zoning out, forward not backward."
-iXeSgbaVTlP-1.mp4,If you chased money like you chased that girl you'd be rich.,"Some paths are chosen. Others chase you down, relentless as forgotten desire."
-iXeSgbaVTlP-2.mp4,If you chased money like you chased that girl you'd be rich.,Plot twist: I'm broke AND still single. Teamwork makes the dream work... right? *awkward laugh*
-iXeSgbaVTlP-3.mp4,If you chased money like you chased that girl you'd be rich.,Ambition has no limits. Choose growth over distraction.
-iXeSgbaVTlP-4.mp4,If you chased money like you chased that girl you'd be rich.,Ever wonder why you put more effort into dating than your dreams?
-KLogxQBfVY7-1.mp4,Pov: You realised your potential.,Burning my old life plans like confetti while screaming into the void of limitless chaos
-KLogxQBfVY7-2.mp4,Pov: You realised your potential.,"In one moment, years of doubt crumbled and a new path emerged, brighter than ever before."
-KLogxQBfVY7-3.mp4,Pov: You realised your potential.,"Cool, just unlocked the achievement of basic human functioning. Congrats, me."
-KLogxQBfVY7-4.mp4,Pov: You realised your potential.,"Some people will never accept you're leveling up, and that's their problem, not yours."
-mJ9DnVs7r-2-1.mp4,"how i stare at the ""how you been?"" text after i tripled my income.",Income glow-up: the look of silent confidence.
-mJ9DnVs7r-2-2.mp4,"how i stare at the ""how you been?"" text after i tripled my income.",Success is silent. Your growth speaks louder than any response.
-mJ9DnVs7r-2-3.mp4,"how i stare at the ""how you been?"" text after i tripled my income.",Waiting to reply like I didn't just level up my entire financial game.
-mJ9DnVs7r-2-4.mp4,"how i stare at the ""how you been?"" text after i tripled my income.","Grateful for growth, remembering every step of the journey."
-OeqHrz6uXyu-1.mp4,"Be so delusional to the point
where people think you're
crazy.
NEED MONEY
FOR RENT?",delirious vibes only. selling my soul for 3 digits of salvation. lets GOOOOO
-OeqHrz6uXyu-2.mp4,Be so delusional to the point where people think you're crazy.,Embrace your wildest dreams. Are you brave enough to be unapologetically you?
-OeqHrz6uXyu-3.mp4,"Be so delusional to the point where people think you're crazy.

Need money for rent",Adulting: When your bank account is just a number with a minus sign.
-OeqHrz6uXyu-4.mp4,"Be so delusional to the point
where people think you're
crazy.
NEED MONEY
FOR RENT?","Survival mode activated. Some dreams don't care about logic, only hustle."
-P0-ZZZxLxWl-1.mp4,"They only see the money but
don't know how insane i
went chasing it",Living the hustle life: a tale of capitalism and mild mental breakdown.
-P0-ZZZxLxWl-2.mp4,"They only see the money but
don't know how insane i
went chasing it.",Success ain't just dollars. It's the mental scars nobody sees behind the flex.
-P0-ZZZxLxWl-3.mp4,"They only see the money but
don't know how insane i
went chasing it","The grind is real, and only some understand the sacrifices behind success."
-P0-ZZZxLxWl-4.mp4,They only see the money but don't know how insane i went chasing it.,Success is a rollercoaster built on sacrifices unseen by the crowd.
-UAxgY2Tma0u-1.mp4,"she better cook like her mom, because i make more money than her dad.",Relationship goals: mansplaining culinary expectations since forever.
-UAxgY2Tma0u-2.mp4,"she better cook like her mom, because i make more money than her dad.",Relationship goals: measuring worth by wallet size since forever.
-UAxgY2Tma0u-3.mp4,"she better cook like her mom, because i make more money than her dad.","Secrets simmer beneath the surface, waiting to boil over."
-UAxgY2Tma0u-4.mp4,"she better cook like her mom, because i make more money than her dad.",Breadwinner's expectations.
-vhJh3Nw4mcd-1.mp4,One day we will be so rich that these bad days won't even matter anymore.,Shadows of ambition whisper promises beyond the horizon.
-vhJh3Nw4mcd-2.mp4,One day we will be so rich that these bad days won't even matter anymore. LAUNDR,Do you believe your struggles today will lead to success tomorrow?
-vhJh3Nw4mcd-3.mp4,One day we will be so rich that these bad days won't even matter anymore.,Started from the bottom. Watch me rise. These struggles are just chapters in my success story.
-vhJh3Nw4mcd-4.mp4,One day we will be so rich that these bad days won't even matter anymore.,"Hustle today, wealth tomorrow."
-vmkkuLvCJom-1.mp4,"There is no visible text in this image. The image shows a dark grey Lamborghini sports car parked in what appears to be a concrete parking garage, with its door open.","Living large, one supercar at a time. Success looks good from here."
-vmkkuLvCJom-2.mp4,"There is no visible text in this image. It shows a Lamborghini sports car parked in what appears to be a concrete parking garage or underground parking area, with one of its doors open.",Would you take this ride if it meant leaving everything behind?
-vmkkuLvCJom-3.mp4,"There is no visible text in this image. The image shows a silver Lamborghini sports car parked in what appears to be a concrete parking garage or structure, with its door open.",Would you trade your daily commute for a ride in this sleek machine?
-vmkkuLvCJom-4.mp4,There are no visible text/words in this image - it's a photo of a Lamborghini sports car with its doors open in a parking garage or concrete structure.,"When your ""budget"" looks a little different from everyone else's."
-WG9A5spiNY0-1.mp4,Success hits different when no one believed in you.,Plot twist: Still waiting for that success to hit.
-WG9A5spiNY0-2.mp4,"Success hits different
when no one believed in you.",Success is the sweetest revenge against those who doubted you.
-WG9A5spiNY0-3.mp4,"Success hits different
when no one believed in you.",Shadows of doubt shattered. Some victories whisper louder than words.
-WG9A5spiNY0-4.mp4,"Success hits different
when no one believed in you.",Shadows recede. Whispers fade. Some stories are written in silence.
-YGJN50HFYTr-1.mp4,pov: life after you realize it shouldn't take an hour to make $20,When adulting hits different and your hustle feels like a snail race
-YGJN50HFYTr-2.mp4,"pov: life after you realize it
shouldn't take an hour
make $20",Embracing simplicity and learning to value my time more wisely.
-YGJN50HFYTr-3.mp4,pov: life after you realize it shouldn't take an hour to make $20,Appreciating growth and the journey towards valuing my time and skills.
-YGJN50HFYTr-4.mp4,"pov:life after you realize it
shouldn't take an hour to
make $20","Choosing growth over struggle, one small step at a time."
01g-7f8-4_N4-1.mp4,"Me calculating how I'm
gonna retire my parents,
Make 7 figures, buy a v12,
marry the lomi, and
dissapear all before 25","Dreams bigger than his small-town roots, fueled by one wild plan that just might work."
01g-7f8-4_N4-2.mp4,"Me calculating how I'm
gonna retire my parents,
Make 7 figures, buy a v12,
marry the lomi, and
dissapear all before 25",Delusion is a hell of a drug. Some people live in a fantasy world while others build real wealth.
01g-7f8-4_N4-3.mp4,"Me calculating how I'm gonna retire my parents, Make 7 figures, buy a v12, marry the lomi, and dissapear all before 25",The dream vs. the student loan debt: An eternal struggle.
01g-7f8-4_N4-4.mp4,"Me calculating how I'm gonna retire my parents,
Make 7 figures, buy a V12,
marry the 1oml, and
dissapear all before 25",Ever wondered what big dreams look like before reality checks in?
01I4QOAo0G71-1.mp4,Become so rich that...,Become so rich that your bank account makes other people's dreams look like pocket change.
01I4QOAo0G71-2.mp4,Become so rich that...,Become so rich that money stops being the goal and purpose becomes the mission.
01I4QOAo0G71-3.mp4,Become so rich that...,You never have to explain your wealth or apologize for your success to anyone who didn't build it.
01I4QOAo0G71-4.mp4,Become so rich that...,"Every blessing is a gift, and true wealth is measured by love and kindness."
01VGRQu4vh3e-1.mp4,"unfortunately i only like
making money and im tyrna
be financially free in my 20s
so im boring and perfectly
fine with it","Cash rules everything around me, but make it a comedy sketch!"
01VGRQu4vh3e-2.mp4,"unfortunately i only like
making money and im tyrna
be financially free in my 20s
so im boring and perfectly
fine with it",capitalism ate my soul and im serving myself on a silver platter of spreadsheets and despair
01VGRQu4vh3e-3.mp4,"unfortunately i only like
making money and im trynna
be financially free in my 20s
so im boring and perfectly
fine with it",Capitalism broke your personality and you're celebrating it like an achievement.
01VGRQu4vh3e-4.mp4,"unfortunately i only like
making money and im tyrna
be financially free in my 20s
so im boring and perfectly
fine with it","Cash is my love language, and adulting is my superpower! Boring? More like BOSS MODE activated!"
05Syp_lTMjVt-1.mp4,When the devils couldn't reach me so he gave me the unhealthy urge to chase success at a young age instead of enjoying my life...,"Ambition's shadow: when drive becomes a silent battle, consuming youth's fleeting moments."
05Syp_lTMjVt-2.mp4,"When the devils couldn't
reach me so he gave me the
unhealthy urge to chase
success at a young age
instead of enjoying my life...","Temptation wears many masks, designed to distract from what truly matters."
05Syp_lTMjVt-3.mp4,When the devils couldn't reach me so he gave me the unhealthy urge to chase success at a young age instead of enjoying my life...,When hustle culture is the devil's ultimate mind game.
05Syp_lTMjVt-4.mp4,When the devils couldn't reach me so he gave me the unhealthy urge to chase success at a young age instead of enjoying my life...,Did success become your escape from living?
0Bx7h1HfLRBJ-1.mp4,"When you meet a super duper
nice girl but you don't run
100k/month business...",Dreamers vs. doers in the dating world.
0Bx7h1HfLRBJ-2.mp4,When you meet a super duper nice girl but you don't run 100k/month business...,"When your bank account says ""nap"" but your heart says ""romantic comedy"""
0Bx7h1HfLRBJ-3.mp4,When you meet a super duper nice girl but you don't run 100k/month business...,Swooning but broker than a joke at an open mic night!
0Bx7h1HfLRBJ-4.mp4,When you meet a super duper nice girl but you don't run 100k/month business...,When reality checks in and your charm budget falls short of her entrepreneurial expectations.
0DjbdTbDTx9Z-1.mp4,"She better cook like her mom, because i in fact can make money like her dad.","Grateful for love, partnership, and each person bringing their unique strengths."
0DjbdTbDTx9Z-2.mp4,"She better cook like her mom, because i in fact can make money like her dad.","Some wounds run deeper than family recipes, and expectations can simmer for generations."
0DjbdTbDTx9Z-3.mp4,"She better cook like her mom, because i in fact can make money like her dad.",Can you prove you're more than just your parents' shadow? Show me what you're made of.
0DjbdTbDTx9Z-4.mp4,"She better cook like her mom, because i in fact can make money like her dad.","Generations clash, traditions simmer, and unspoken expectations burn beneath the surface."
0f3Yv5lA2FD7-1.mp4,NEED MONEY FOR CARS,"When your bank account says no, but your dream ride says yes."
0f3Yv5lA2FD7-2.mp4,NEED MONEY FOR PAGANI,When your financial goals are definitely keeping it realistic.
0f3Yv5lA2FD7-3.mp4,NEED MONEY FOR RENT?,Struggling to make rent this month? What would you do to get quick cash?
0f3Yv5lA2FD7-4.mp4,NEED MONEY FOR GATA,"Desperate times call for desperate measures, but this plan might just be crazy enough to work."
0hOJ_wG5yVmz-1.mp4,Been so worried about getting my life together i almost forgot im still young and still have a whole life ahead of me,"Adulting? More like adult-NOT-ing! Woohoo, freedom parade coming through!"
0hOJ_wG5yVmz-2.mp4,"Been so worried about
getting my life together i
almost forgot im still young
and still have a whole life
ahead of me","She paused, realizing her race against time was blinding her to the journey itself."
0hOJ_wG5yVmz-3.mp4,Been so worried about getting my life together i almost forgot im still young and still have a whole life ahead of me,Plot twist: My whole life ahead of me is just more existential dread.
