job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,run_id,video_id
DPjiXlpDhEV-1.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\profgalloway\DPjiXlpDhEV-1.mp4,"@profgalloway called it before everyone else jumped on the Emerging Markets wave. 🔮

From episode: The World's Hottest Trade? Why Emerging Markets Are Back

#emergingmarkets #investing #stockmarket #finance #tradingstrategy #marketprediction #profgalloway #investingtips #globalmarkets #financialeducation",failed,0,2025-12-22T19:27:29.888674,2025-12-22T19:29:59.805160,"Max steps reached - Vision analysis: This shows the Instagram home feed with regular content - there are no error messages, popups, or ""action blocked"" warnings visible. The screen appears to be functioning normally, displaying suggested reels and posts from accounts like ""_onlymemefans"" and ""thishowthingswork.""

Since the context indicates max steps were reached without completing the post but no caption was entered and share wasn't clicked, it appears the user may have started but never finish",3,3,2025-12-22T19:32:19.819743,action_blocked,account,,,
DIrDMD-NSIw-1.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\foundr\DIrDMD-NSIw-1.mp4,"Tom Bilyeu didn't let fear paralyze him—he used it as fuel. While most people freeze when doubt creeps in, he learned to move forward anyway. That shift in perspective changed everything.

The difference between those who succeed and those who don't? It's not fearlessness. It's deciding that fear won't make the decision for you.

Via @foundr

#entrepreneur #entrepreneurship #business #mindset #success #motivation #entrepreneurlife #businessowner #startup #hustle #businessmindset #goals #inspiration #motivationalquotes #successmindset #entrepreneurmindset #businesstips #startuplife #entrepreneurquotes #mindsetiseverything",success,1,2025-12-22T19:21:52.229093,2025-12-22T19:24:50.511557,,0,3,,,,,,
DRZzHeokTxd-2.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\megynkellyshow\DRZzHeokTxd-2.mp4,"@mrserikakirk shares powerful wisdom on denying your opposition the reaction they're hoping for, plus her heartfelt message to the Robinson family. More from @megynkellyshow 💯

#megynkellyshow",success,2,2025-12-22T19:22:52.336655,2025-12-22T19:27:58.335447,,0,3,,,,,,
DQNGKDXkp1e-1.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\codiesanchez\DQNGKDXkp1e-1.mp4,"📊 The quadrant that separates dreamers from wealth builders—@codiesanchez breaks down why ""unsexy"" beats ""startup hype"" every single time.

Chasing the next viral app? You're in the wrong square. The real money sits in businesses nobody brags about at dinner parties—low risk, high margins, actual cash flow.

Which quadrant are you playing in? Drop ""BORING"" below for the full breakdown.

#BusinessStrategy #Entrepreneurship #SmallBusiness #BusinessOwner #PassiveIncome #WealthBuilding #BusinessTips #Entrepreneur #FinancialFreedom #BusinessGrowth #SideHustle #BusinessMindset #MakeMoneyOnline #BusinessIdeas #InvestmentStrategy",failed,0,2025-12-22T19:46:18.430735,2025-12-22T19:50:20.658358,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen with three tabs at the top (Edits, Drafts, Templates) and a ""Recents"" section below showing what appears to be a 59-second video clip. The screen looks normal without any visible error messages, login prompts, or ""action blocked"" warnings.

The loop recovery failure likely occurred during the posting process rather than on this creation screen. To proceed, try tapping the video clip to continue editing/posting, or go",2,3,2025-12-22T19:51:08.369686,action_blocked,account,,,
DOjGrwZkbJe-1.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\ultimatehumanpod\DOjGrwZkbJe-1.mp4,"Gary Brecka breaks down the invisible threat most people completely overlook—toxins aren't just ""out there,"" they're in your home, your car, and the products you use daily. When synthetic materials get heated, they release compounds that mess with your hormones, fertility, metabolism, and kids' brain development. The good news? Once you know where these toxins hide, you can actually do something about it. @ultimatehumanpod shares the intel you need to protect yourself and your family.

👇🏻 Comment ME to be added to our email list to learn more.

#GaryBrecka #HumanOptimization #Biohacking #Toxins #Health #Wellness #Hormones #Fertility #HealthyLiving #NonToxicLiving #HealthTips #Longevity #OptimalHealth",success,4,2025-12-22T19:24:52.230725,2025-12-22T19:29:08.979278,,0,3,,,,,,
C3oc8OHJgR9-2.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\theovon\C3oc8OHJgR9-2.mp4,"Trevor Wallace joins Theo to break down the grammar rules nobody actually follows 📚

via @theovon w/ @trevorwallace

#theovon #comedy #podcast #standup #funny #comedypodcast #theovonpodcast #comedian #tiktokviral #viral #explore",success,1,2025-12-22T19:25:00.573109,2025-12-22T19:26:50.105659,,0,3,,,,,,
DRxMe9fjx6U-2.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\profgalloway\DRxMe9fjx6U-2.mp4,"The ability to handle rejection might be the most underrated life skill - and @profgalloway isn't holding back on how you learn it 🎯

His advice? ""Get out a spoon and eat sh*t"" ✨

Because the relationships you build (and the inevitable rejection you face along the way) teach you what success actually requires 💡

Drop your thoughts below 👇

#profgalloway #rejection #lifeskills #relationships #successmindset #personalgrowth #hardtruths #lifelessons #mindset #growthmindset",failed,1,2025-12-22T19:37:45.827785,2025-12-22T19:41:10.135869,"Loop stuck - Vision analysis: This appears to be the main Instagram feed showing normally with stories at the top, a Miley Cyrus post visible, and standard navigation elements at the bottom. There are no visible error messages, login prompts, or ""action blocked"" notifications on screen. The loop recovery failure likely occurred during a background action or navigation attempt that didn't produce a visible error state - the app may need to be refreshed or the previous action retried.",3,3,2025-12-22T19:42:35.754311,action_blocked,account,,,
DPl48H9DYvR-1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\daveramsey\DPl48H9DYvR-1.mp4,"Looking wealthy versus being wealthy—@daveramsey breaks down the real cost of that brand new car smell. The numbers don't lie: a $48,000 vehicle drops $9,600 in value during year one alone. That's $175 vanishing from your net worth every single week just to impress people at red lights. Meanwhile, a quality used car under three years old delivers the same reliability without the financial bleeding. Choose substance over status and watch your actual wealth grow.

#DaveRamsey #MoneyTips #FinancialFreedom #DebtFree #PersonalFinance #WealthBuilding #SmartMoney #FinancialAdvice #MoneyManagement #BudgetingTips",success,2,2025-12-22T19:28:08.423788,2025-12-22T19:31:05.069729,,0,3,,,,,,
DJhKxnStFvQ-2.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\timferriss\DJhKxnStFvQ-2.mp4,"Terry Real breaks down the shift from boyhood to manhood with one powerful contrast that'll make you rethink everything. @timferriss sits down with him in a brand-new interview that's streaming now on Apple Podcasts, Spotify, YouTube, and all podcast platforms.

#TimFerriss #TerryReal #Masculinity #PersonalGrowth #SelfDevelopment #Podcast #LifeLessons #Mindset #MaturityMatters #PodcastClips #WisdomShared #MentalHealth",success,3,2025-12-22T19:29:20.184927,2025-12-22T19:32:35.574543,,0,3,,,,,,
DHdpIuVuwNA-1.mp4_podcast,micmindvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\thejrecompanion\DHdpIuVuwNA-1.mp4,"Josh Waitzkin breaks down why the competitive rush toward AI development might be humanity's biggest blindspot—a perspective that'll make you rethink everything about technological progress.

From The Joe Rogan Experience Episode 2292, brought to you by @thejrecompanion

Stream the full conversation—episode links in bio.

Follow @joerogan

#joshwaitzkin #joerogan #jre2292 #thejrecompanion #jre #jrejoshwaitzkin #joeroganpodcast #joeroganexperience",success,1,2025-12-22T19:43:19.512285,2025-12-22T19:46:40.765315,,0,3,,,,,,
