job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,run_id,video_id
C7NZ42ZgrPz-2.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\garyvee\C7NZ42ZgrPz-2.mp4,"@garyvee delivered a full-length speech at NYU Stern business school that hits different for anyone between 16-26. He's challenging everyone who watches this to actually take action—copy the link and drop it in your family group chats, send it to teachers, share it with literally anyone in that age range. This isn't your typical motivational moment, it's the complete unfiltered version that deserves to reach beyond the algorithm.

#college #commencement #nyu #university #graduation #graduationday #speech #garyvee",failed,0,2025-12-22T18:23:49.890124,2025-12-22T18:29:50.802882,"Loop stuck - Vision analysis: This shows Instagram's Reels creation screen in a normal state - no error messages, warnings, or blocks are visible. The screen displays the standard ""New reel"" interface with options for Edits, Drafts, and Templates, and shows a camera viewfinder ready for recording (0:00 timer visible).

The loop recovery failure likely occurred during a previous posting attempt that isn't reflected in this current screen state. To proceed, the user should either record new conten",3,3,2025-12-22T18:28:39.826073,claude_stuck,infrastructure,,,
DEUNSfopo-a-1.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\foundr\DEUNSfopo-a-1.mp4,"Most entrepreneurs in 1983 were focused on computing power and technical specs. Steve Jobs? He was already obsessed with making technology beautiful.

That vision separated Apple from every other tech company and still defines them today.

Via @foundr

#stevejobs #apple #design #entrepreneur #productdesign #innovation #technology #BusinessLessons #appledesign #foundrmag #entrepreneurmindset #startuplife #techhistory #designthinking",failed,1,2025-12-22T18:19:28.402260,2025-12-22T18:23:04.720068,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen in the Recents tab, displaying a 59-second video ready to be posted. There are no visible error messages, popups, or ""action blocked"" warnings on the screen. The interface appears normal with the REEL and TEMPLATES buttons at the bottom, suggesting the posting flow is accessible and the previous loop recovery failure may have been a temporary network or processing issue rather than an account restriction.",1,3,,action_blocked,account,,,
DPR7bAAj5Kt-1.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\joeroganexperience\DPR7bAAj5Kt-1.mp4,"Gregg Braden joins @joeroganexperience to explore humanity's hidden potential in this thought-provoking conversation. The renowned author and scientist discusses key insights from ""Pure Human: The Hidden Truth of Our Divinity, Power, and Destiny"" — diving deep into what it truly means to be human. Episode 2387 delivers another powerful dialogue you won't want to miss.

www.greggbraden.com

#JoeRogan #JRE #GreggBraden #PureHuman #JoeRoganPodcast #JoeRoganExperience #Podcast #Consciousness #Science #Spirituality #HumanPotential",failed,2,2025-12-22T18:24:39.844653,2025-12-22T18:28:16.114672,"Max steps reached - Vision analysis: This shows Instagram's ""New reel"" creation screen in the posting flow. The user appears to be in the media selection stage, with recent videos/images displayed and options for ""Edits,"" ""Drafts,"" and ""Templates"" at the top. 

The post likely failed because the user reached the 30-step limit while still in the content selection/editing phase without completing the caption entry and final share action. To fix this, they would need to quickly select their media, ",3,3,2025-12-22T18:29:29.780080,claude_stuck,infrastructure,,,
DEPaDuvOyfg-2.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\thejrecompanion\DEPaDuvOyfg-2.mp4,"Starting 2025 with pure comedy gold from this JRE lineup 🔥

@thejrecompanion bringing you The Joe Rogan Experience at its finest

Follow @joerogan
Follow @arishaffir
Follow @shanemgillis
Follow @marknormand

#joerogan #jre #thejrecompanion #joeroganpodcast #joeroganexperience",failed,0,2025-12-22T18:43:13.434500,2025-12-22T18:44:38.890631,Exception: Device 98.98.125.32:20010 never appeared in ADB devices list after 60s,4,3,2025-12-22T18:37:01.332547,adb_timeout,infrastructure,,,
DDswp2ASU0_-2.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\hubermanlab\DDswp2ASU0_-2.mp4,"When a physicist father answers his neuroscientist son's question about life goals, the wisdom runs deep. Dr. Bernardo Huberman—who journeyed from particle physics to chaos theory to quantum computing—shares what he hopes Andrew @hubermanlab will aim for in life. Their conversation explores curiosity-driven career pivots, fleeing political instability, balancing professional ambition with daily living, and why strategic rebellion fuels genuine growth. This father-son exchange offers rare insight for anyone who's switched paths multiple times or questioned their direction.

Video: @chrisrayfilms

#neuroscience #science #ciencia #neurociencia #life #advice",success,4,2025-12-22T18:22:28.445653,2025-12-22T18:26:35.412938,,0,3,,,,,,
DQxMBnfEj0Z-2.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\megynkellyshow\DQxMBnfEj0Z-2.mp4,"Jennifer Lawrence just said the quiet part out loud about celebrity political influence—and @megynkellyshow has thoughts on this rare moment of Hollywood honesty. Catch the complete breakdown on the full podcast.

#megynkellyshow",failed,1,2025-12-22T18:23:14.779569,2025-12-22T18:31:00.354600,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen with a video selected (1:04 duration) featuring a blonde woman. The screen appears to be functioning normally - showing the standard reel creation interface with options for Edits, Drafts, and Templates at the top, and Reel/Templates buttons at the bottom.

There are no visible error messages, login prompts, or ""action blocked"" warnings on this screen. The loop recovery failure likely occurred during a previous posti",1,3,,action_blocked,account,,,
DQjt90BiaVa-2.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\pbd.podcast\DQjt90BiaVa-2.mp4,"The vision for the future? Completely different paths.

Via @pbd.podcast

#podcast #podcasts #podcastclips #valuetainment #patrickbetdavid #business #entrepreneur",failed,4,2025-12-22T18:26:45.484150,2025-12-22T18:32:15.837849,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen in the Recents section, where users can select media to create a reel. The screen appears to be functioning normally with no visible error messages, login prompts, or ""action blocked"" warnings. 

The loop recovery failure likely occurred during a previous tap action (at coordinates 360,720) that didn't register properly, but the current screen state suggests the app is still responsive and the user can continue with ",1,3,,action_blocked,account,,,
DKcuIYoP-5W-1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\joeroganexperience\DKcuIYoP-5W-1.mp4,"Jesse Michels (@jessemichelsofficial) sits down with @joeroganexperience in episode 2331 to discuss his work on American Alchemy, where he dives deep into science and culture's most controversial subjects through longform conversations. The YouTube creator breaks down his investigative approach to topics most won't touch.

#JoeRogan #JRE #JoeRoganExperience #Podcast #JesseMichels #AmericanAlchemy #YouTube #Science #Culture #LongformInterview #Episode2331",failed,2,2025-12-22T18:28:26.160458,2025-12-22T18:33:03.272596,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen with a video selected (1:27 duration showing someone at a microphone). The user appears to be in the normal reel posting flow with options for Edits, Drafts, and Templates visible at the top, and REEL/TEMPLATES toggle at the bottom.

There are no visible error messages, login prompts, or ""action blocked"" warnings on this screen. The posting failure likely occurred during a previous step (possibly during upload or pro",1,3,,action_blocked,account,,,
C0oyu2fu7fU-2.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\edmylett\C0oyu2fu7fU-2.mp4,"@edmylett breaks down a truth most people avoid: playing it safe guarantees you'll stay exactly where you are. The comfort zone feels secure until you realize it's actually holding you hostage. Risk isn't reckless—it's required.

@frenchfusemusic

#NoRisk #NoReward #TakeTheRisk #MaxOut #EdMylett #MotivationMonday #RiskTaker #GrowthMindset #SuccessMindset #EntrepreneurLife #PushYourLimits #ComfortZone #BoldMoves #TakeAction",failed,0,2025-12-22T18:30:00.858265,2025-12-22T18:33:45.016025,"Loop stuck - Vision analysis: This shows Instagram's Reels creation screen in the ""Recents"" tab, displaying previously captured videos/content that can be selected to create a new reel. There are no visible error messages, login prompts, or ""action blocked"" warnings on the screen.

The loop recovery failure likely occurred during a previous attempt to post or process a reel, but the current screen appears normal and functional. The user should try selecting content and proceeding with the reel c",1,3,,action_blocked,account,,,
C6r4JFEPDHi-1.mp4_podcast,micmindvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\moreplatesmoredates\C6r4JFEPDHi-1.mp4,"Paul Saladino breaks down the critical decision point for atherosclerosis medication in this thought-provoking discussion with @moreplatesmoredates. The conversation challenges conventional thinking about when pharmaceutical intervention becomes necessary versus lifestyle optimization. Worth watching if you're navigating cardiovascular health decisions.

#paulosaladino #moreplatesmoredates #atherosclerosis #cardiovascularhealth #heartdisease #cholesterol #preventivemedicine #healthoptimization #biohacking #longevity #hearthealth #statins #functionalhealth",failed,1,2025-12-22T18:37:25.475841,2025-12-22T18:41:43.002738,"Loop stuck - Vision analysis: This shows Instagram's ""New reel"" creation screen in the media selection phase, where the user can choose from recent photos/videos or access Edits, Drafts, and Templates. There are no visible error messages, login prompts, or ""action blocked"" warnings on the screen. The loop recovery failure likely occurred during a previous posting attempt, but the current screen appears to be functioning normally - the user should be able to select media and proceed with creating",3,3,2025-12-22T18:42:15.421387,action_blocked,account,,,
