job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,run_id,video_id
DQby1k7Dn-E-1.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\restispolitics\DQby1k7Dn-E-1.mp4,"The hypnotic rhythm of a book tour in full swing 📚✍️

400 signatures deep and @restispolitics caught Rory locked in the zone, one autograph after another in this mesmerizing cycle.

#TheRestIsPolitics #RoryStewart #BookTour #AuthorLife #BookSigning #PoliticsUK #BritishPolitics #Podcast",success,0,2025-12-23T13:03:03.013918,2025-12-23T13:07:23.738972,,0,3,,,,,,
DNgfaftBJ3x-1.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\ryanholiday\DNgfaftBJ3x-1.mp4,"The question everyone's asking right now gets explored in Austin this September 17. @ryanholiday goes live with Daily Stoic to tackle the AI conversation head-on. This is your chance to be in the room where it happens.

Tickets and full details at dailystoiclive.com

#DailyStoic #Stoicism #ArtificialIntelligence #AI #AustinTexas #LiveEvent #Philosophy #ModernStoicism #StoicPhilosophy #RyanHoliday",success,1,2025-12-23T13:04:02.926579,2025-12-23T13:11:46.771278,,0,3,,,,,,
DPcelqTiUGo-2.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\codiesanchez\DPcelqTiUGo-2.mp4,"@codiesanchez spotted a TikTok trend that had her laughing a little too hard… then casually dropped that she might need to hire an HR director 👀

She's challenging her followers to share their most unfiltered work jokes, with the winner scoring a gift. The comment section is about to get wild 😂

What's your best totally un-PC office story? 👇

#WorkHumor #EntrepreneurLife #SmallBusinessOwner #BusinessOwner #Entrepreneur #WorkLife #OfficeHumor #BossLife #HRNightmare",success,2,2025-12-23T13:05:02.941467,2025-12-23T13:10:09.653309,,0,3,,,,,,
DKu-ZkPRAzL-2.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\tonyrobbins\DKu-ZkPRAzL-2.mp4,"You can always find something to complain about if you look hard enough. The real power move? Training yourself to spot what's working just as quickly. @tonyrobbins reminds us that both perspectives exist simultaneously—we just get to choose which lens we look through.

#TonyRobbins #Perspective #Mindset #ChooseYourFocus #PersonalDevelopment #SelfImprovement #MindsetShift #PositiveThinking #GrowthMindset #Motivation #SelfGrowth #MindsetMatters #LifeLessons",success,3,2025-12-23T13:06:02.933844,2025-12-23T13:11:17.708747,,0,3,,,,,,
DMJqVvWtHfC-2.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\shawnryanclipped\DMJqVvWtHfC-2.mp4,"@shawnryanclipped captures the moment Shawn Ryan breaks down his philosophy on identifying quality individuals worth having in your corner. In a world full of surface-level connections, he shares what truly separates genuine people from the rest. The kind of insight that changes how you view your inner circle.

#shawnryan #shawnryanshow #shawnryanpodcast #srs #vigilanceelite #podcast #podcasting #podcastclips #leadership #trust #relationships #character #peopleandculture",success,4,2025-12-23T13:07:02.929200,2025-12-23T13:11:13.826722,,0,3,,,,,,
DOLx2rNjuCD-1.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\daveramsey\DOLx2rNjuCD-1.mp4,"Dave Ramsey's framework isn't complicated—7 Steps, straightforward execution. The challenge? It demands unwavering commitment. Most people know what to do; they just won't stay consistent long enough to see results. He emphasizes that crossing the finish line requires eliminating excuses and reversing the money dynamic so your finances serve you instead of controlling you. The methodology succeeds every time when people actually follow through without backtracking. @daveramsey

#BabySteps #DebtFreeJourney #FinancialFreedom #MoneyGoals #DebtFreeCommunity #FinancialPeace #BudgetingTips #DebtFree #PersonalFinance #FinancialPlanning",success,0,2025-12-23T13:18:02.644338,2025-12-23T13:20:19.515117,,2,3,2025-12-23T13:22:52.595546,,,,,
DMvxFBJBhyq-2.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\charliekirk1776\DMvxFBJBhyq-2.mp4,"Tucker Carlson just dropped some hard truths that'll make you think twice 👁️

@charliekirk1776 shared this moment with Tucker speaking straight facts. Where do you stand on this?

#TuckerCarlson #CharlieKirk #ConservativeValues #PoliticalDebate #FreeSpeech #TruthMatters #ThoughtCrime #SpeakTruth #Conservative #Politics",success,2,2025-12-23T13:10:19.707168,2025-12-23T13:15:34.157692,,0,3,,,,,,
DQuoXraEZf8-1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\alexjones.tv\DQuoXraEZf8-1.mp4,"The Supreme Court could be making a move that derails everything Trump's been working to rebuild, and Alex Jones isn't holding back his thoughts on what's coming. @alexjones.tv breaks down the potential legal bombshell that has everyone talking. 11/6/25

#infowars #trumpwon #maganews",success,4,2025-12-23T13:11:23.877393,2025-12-23T13:15:42.510475,,0,3,,,,,,
DRiZpH4greO-1.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\russellbrand\DRiZpH4greO-1.mp4,"The Epstein files reportedly contain names of 20 men, with Barclays' CEO among them—according to Thomas Massie's recent statements, as shared by @russellbrand

#ThomasMassie #EpsteinFiles #Barclays #CEO #Transparency #Accountability #Truth #Politics #News #Viral #Trending #Exposed",success,3,2025-12-23T13:11:27.746021,2025-12-23T13:14:32.655590,,0,3,,,,,,
DRKeiLVCcOw-1.mp4_podcast,micmindvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\restispolitics\DRKeiLVCcOw-1.mp4,"What would happen if Keir Starmer finally said what millions are thinking about Brexit? Alastair Campbell lays out the exact speech he believes needs to be delivered.

Via @restispolitics

#RestIsPolitics #AlistairCampbell #KeirStarmer #Brexit #UKPolitics #LabourParty #PoliticalCommentary #BritishPolitics #Politics",success,1,2025-12-23T13:11:56.825959,2025-12-23T13:16:42.422913,,0,3,,,,,,
DN3TUoLUC8g-1.mp4_podcast,castcoremedia,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\2bears.1cave\DN3TUoLUC8g-1.mp4,Bret maintains an unshakeable confidence about his fitness level that the guys at @2bears.1cave can't help but respect. The delusion runs deep. #2Bears1Cave #bertkreischer #delusional #delusional4eva #inshape,success,3,2025-12-23T13:14:42.708388,2025-12-23T13:18:53.868734,,0,3,,,,,,
DNGcVc2R0P9-1.mp4_podcast,bitepodmedia,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\theadamcarollashow\DNGcVc2R0P9-1.mp4,"When you're legendary enough to make your own rules 🎸⚡

@theadamcarollashow catches @dustyslay sharing the story of rock and roll excess at its finest

#podcast #comedy #standup #rockandroll #rockstar #funny #comedian #dustyslay #adamcarolla",success,2,2025-12-23T13:15:44.223190,2025-12-23T13:24:59.836022,,0,3,,,,,,
DGjXcZtMV2s-1.mp4_podcast,bitecastclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\michaeljknowles\DGjXcZtMV2s-1.mp4,"Michael Knowles brings religious leaders from across the theological spectrum into one explosive conversation. Fr. Gerald Murray, Protestant Rev. Darren Tyler, and progressive Rev. Alexandre da Silva Souto don't hold back on their views about mass deportations and what faith actually demands when it comes to illegal immigration. The divide? It's wider than you think. Full panel discussion available through the link in @michaeljknowles' bio.

#MichaelKnowles #Trump #Immigration #Christianity #FaithAndPolitics #ReligiousDebate #IllegalImmigration #ChristianValues #PoliticalDebate #Faith #Deportation #BorderSecurity #ChristianLeaders #TheologyMatters",success,4,2025-12-23T13:15:52.550632,2025-12-23T13:20:39.708625,,0,3,,,,,,
DP9G8_8jjQ_-1.mp4_podcast,clipsonairwave,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\chriswillx\DP9G8_8jjQ_-1.mp4,"The milestone hits different when you stop to look back at the journey. @chriswillx shares what 1000 episodes really means beyond just a number.

Full vlog is out now 💜

#podcast #podcasting #podcastclips #reflection #milestone #journey #creator #contentcreator #modernwisdom #chriswilliamson",success,1,2025-12-23T13:16:52.499133,2025-12-23T13:21:45.365348,,0,3,,,,,,
C7P4qGmuJ9q-2.mp4_podcast,archipelago_one,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\timferriss\C7P4qGmuJ9q-2.mp4,"**Mini retirements aren't about escaping work—they're about redesigning life itself.** @timferriss breaks down why waiting until 65 to ""live"" is a fundamentally flawed plan, and how strategic breaks throughout your career can give you the experiences, perspective, and fulfillment most people postpone for decades. This mindset shift separates those who optimize their entire lives from those who just optimize their careers.

#timferriss #miniretirements #4hourworkweek #lifestyledesign #worklifebalance #entrepreneurmindset #personaldevelopment #productivityhacks #lifelessons #timemanagement #worksmarternotharder #selfimprovement #motivational #successmindset #entrepreneurlife",success,3,2025-12-23T13:19:03.911505,2025-12-23T13:24:20.218943,,0,3,,,,,,
DQ5EtWqkfSK-2.mp4_podcast,warlordregent,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\profgalloway\DQ5EtWqkfSK-2.mp4,"Nicole Wallace and @profgalloway sat down for a conversation on her MSNBC podcast. Catch the full episode through his stories or head to MSNBC's YouTube channel.

#MSNBC #Podcast #NicoleWallace #Media #Interview #Politics #News #PodcastEpisode",success,0,2025-12-23T13:20:29.559894,2025-12-23T13:32:20.865507,,0,3,,,,,,
CvIojV7gGuN-1.mp4_podcast,thequietbaron,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\moreplatesmoredates\CvIojV7gGuN-1.mp4,"Blood work timing can make or break your health optimization journey. In this discussion, @moreplatesmoredates breaks down the strategic approach to scheduling your first comprehensive panel and what markers actually matter before you start experimenting with your body's biochemistry.

#bloodwork #bloodtest #testosterone #hormones #menshealth #healthoptimization #biohacking #trt #performanceenhancement #fitnesstips #gym #bodybuilding #moreplatesmoredates",success,4,2025-12-23T13:20:49.787860,2025-12-23T13:25:31.578173,,0,3,,,,,,
DQKF2u6ElTC-1.mp4_podcast,thefieldsketcher,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\greatness\DQKF2u6ElTC-1.mp4,"The history books weren't written by people who stayed comfortable. 💯

@tonyrobbins breaks down why your current struggles are literally building the person you're meant to become. Real talk: comfort zones don't create legends. 🔥

Drop a ""YES"" below for the complete episode 🎧

Credit: @greatness

#TonyRobbins #Motivation #Mindset #PersonalGrowth #SelfDevelopment #Success #Inspiration #MotivationalQuotes #Greatness",success,1,2025-12-23T13:21:55.435014,2025-12-23T13:26:27.417231,,0,3,,,,,,
DM04waChQ2V-2.mp4_podcast,thebaysideduke,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\charliekirk1776\DM04waChQ2V-2.mp4,"Charlie Kirk makes his return! 🔥

Fresh perspectives incoming from @charliekirk1776 as he jumps back into the conversation. The takes everyone's been waiting for are here.

#conservative #charliekirk #turningpointusa #tpusa #politics #news #republican #trump #maga #america #usa #freedom #liberty #patriot #conservatives",success,3,2025-12-23T13:24:30.270607,2025-12-23T13:27:13.818344,,0,3,,,,,,
DPWxarUk0mV-2.mp4_podcast,thebackroadman,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\teamcocopodcasts\DPWxarUk0mV-2.mp4,Simon Sinek gets Rob Lowe to open up about his greatest source of happiness in this candid moment from @teamcocopodcasts. Sometimes the simplest questions lead to the most genuine answers. #Literally,success,2,2025-12-23T13:25:09.888890,2025-12-23T13:28:46.914849,,0,3,,,,,,
DQ7xmpNCD91-1.mp4_podcast,stone_mason_live,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\russellbrand\DQ7xmpNCD91-1.mp4,"Whoopi Goldberg jumps to defend pharmaceutical companies after Cheryl Hines drops a bombshell stat about $5.4 billion in vaccine injury payouts. The question that follows? ""Is that all vaccines or just the covid vaccine?"" Watch the mental gymnastics unfold as @russellbrand breaks down this telling exchange.

#vaccines #bigpharma #whoop #cherylhines #russellbrand #media #mainstream #covid #injury #payout #billions #defense #pharmaceutical",success,4,2025-12-23T13:25:41.645333,2025-12-23T13:29:36.872436,,0,3,,,,,,
DQLEL0Zj4lh-1.mp4_podcast,sovereignclaw,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\realalexclark\DQLEL0Zj4lh-1.mp4,"Who knew your monthly cycle holds the blueprint to unlocking better skin, stable moods, and next-level energy? Emily from @littleraeofhealth returns as a fan-favorite guest on @realalexclark's podcast to decode the hormone secrets most women were never taught 🌸🩸

As the creator of the Balanced Babe Blueprint and your go-to cycle whisperer, Emily breaks down how syncing with your body's natural rhythms can end the guessing game around PMS, cravings, fertility, and even intentional pregnancy planning 👶

This third appearance on @cultureapothecary proves why she's earned ""hormone bestie"" status—practical wisdom that actually makes you feel amazing in your own skin 🩵💚🌿

Stream now on any podcast platform or search 'Real Alex Clark' on YouTube 📺

Drop 'EMILY' in the comments for the episode link 🔗💌

#hormonehealth #cyclesyncing #womenshealth #fertility #pms #hormonalbalance #periodtalk #wellness #podcast",success,1,2025-12-23T13:26:37.477514,2025-12-23T13:30:07.665360,,0,3,,,,,,
DN9TTuekY26-1.mp4_podcast,silverscribewindow,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\podsaveamerica\DN9TTuekY26-1.mp4,"The safety of Americans is being compromised by the MAHA agenda, according to @podsaveamerica's latest discussion.

#podsaveamerica #crookedmedia #rfkjr",success,3,2025-12-23T13:27:23.875720,2025-12-23T13:33:43.159141,,0,3,,,,,,
DQ61ckjjDKK-1.mp4_podcast,seegloryvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\pbd.podcast\DQ61ckjjDKK-1.mp4,"The accuracy is undeniable 🎯

Via @pbd.podcast

#podcast #podcasts #podcastclips #podcasting #spotify #podcastersofinstagram #podcaster #motivation #selfimprovement #selfdevelopment #success",success,2,2025-12-23T13:36:50.764687,2025-12-23T13:41:44.936504,,2,3,2025-12-23T13:41:40.715317,,,,,
