job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,run_id,video_id
h7rcWIl8GLiA-1.mp4_viral,castreelroom,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\h7rcWIl8GLiA-1.mp4,capitalism brain worms rotting my skull while i chase the bag in my dreams 24/7 help,failed,0,2025-12-22T16:51:05.869775,2025-12-22T16:53:21.899447,"terminated: we disabled your account - Vision analysis: The screen shows a blank white page with only a loading spinner in the center, indicating the Instagram app is stuck loading or has crashed. Given the context that the account was disabled/terminated, this loading state suggests the app cannot properly load any content because the account has been banned. The user would need to either appeal the account suspension through Instagram's help center or create a new account, as the current accou",1,3,2025-12-22T14:52:05.695521,terminated,account,,,
1Q7OTOlmt0SP-4.mp4_viral,bitepodstream,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\1Q7OTOlmt0SP-4.mp4,Do you really want it bad enough to stop making excuses?,success,3,2025-12-22T14:51:54.715491,2025-12-22T14:54:30.483307,,2,3,2025-12-22T14:56:53.964849,,,,,
_lzVl5A4LNLa-2.mp4_viral,miccastreels,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\_lzVl5A4LNLa-2.mp4,"Persistence isn't about never failing, but rising after each fall.",success,3,2025-12-22T15:24:51.607693,2025-12-22T15:31:53.863615,,1,3,2025-12-22T15:29:38.779062,,,,,
01VGRQu4vh3e-2.mp4_viral,talknipvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\01VGRQu4vh3e-2.mp4,capitalism ate my soul and im serving myself on a silver platter of spreadsheets and despair,success,2,2025-12-22T14:52:04.883304,2025-12-22T14:56:29.125777,,2,3,2025-12-22T14:56:45.620101,,,,,
lvMHdTTsac1j-1.mp4_viral,snappoddaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\lvMHdTTsac1j-1.mp4,Perspective check: $60 nails vs. $200k crypto loss.,success,2,2025-12-22T14:52:05.030997,2025-12-22T14:54:45.236346,,1,3,2025-12-22T14:56:54.988718,,,,,
3Dx7lQOtibPw-4.mp4_viral,podtalkvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\3Dx7lQOtibPw-4.mp4,Narrator: And then everything went suspiciously smooth... too smooth.,success,0,2025-12-22T15:02:46.116965,2025-12-22T15:05:30.808951,,1,3,2025-12-22T15:07:36.049116,,,,,
VsjDyTGEwFpC-1.mp4_viral,castcliplab,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\VsjDyTGEwFpC-1.mp4,Embrace the impossible. Transform your life in 1000 days. Are you ready to level up?,success,3,2025-12-22T14:53:32.541955,2025-12-22T14:58:11.692493,,2,3,2025-12-22T14:58:31.847484,,,,,
KB7HENUh3GKF-3.mp4_viral,podblinkclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\KB7HENUh3GKF-3.mp4,"In the future, success isn't luckit's a strategic choice we make today.",success,4,2025-12-22T14:48:09.183254,2025-12-22T14:52:12.592919,,0,3,,,,,,
ll1yxb0WznUD-1.mp4_viral,micstreamclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\ll1yxb0WznUD-1.mp4,Can you relate to getting lost in worries about what's ahead instead of dwelling on what's behind?,success,3,2025-12-22T15:00:40.675495,2025-12-22T15:03:51.829919,,0,3,,,,,,
GrtV3bZNfhnw-1.mp4_viral,castbitecore,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\GrtV3bZNfhnw-1.mp4,Dreams don't listen to doubters.,success,4,2025-12-22T14:54:16.340188,2025-12-22T14:57:15.653967,,1,3,2025-12-22T14:58:59.120310,,,,,
