job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
DOdoeqmDpNp-2.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\ultimatehumanpod\DOdoeqmDpNp-2.mp4,"200 episodes deep and The Ultimate Human Podcast just keeps delivering. On a reflective day like 9/11, with everything unfolding across the nation, @ultimatehumanpod puts the numbers into perspective—34M+ YouTube views, 14M+ podcast plays, 2.7M+ hours consumed, 500K+ subscribers, and 388K+ podcast followers. But beyond the metrics lies something greater: a mission built on truth, connection, and empowering people with knowledge to live longer, stronger lives. This community proves that meaningful content still matters. Here's to 200 more episodes of impact.

👉 Comment 200 for the link to the full episode.

#UltimateHuman #PodcastMilestone #HealthPodcast #WellnessJourney #Longevity #TruthMatters #PodcastCommunity #200Episodes #HealthOptimization #HumanPerformance",success,1,2025-12-19T09:38:54.458041,2025-12-19T09:42:14.045030,,2,3,2025-12-19T09:43:49.016680,,,
DN0vHRq4sCw-1.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\hormozi\DN0vHRq4sCw-1.mp4,"@hormozi breaks down what nobody tells you about the real game: the grind hits harder and lasts longer than your best guess. But here's the plot twist—the win isn't the bank account. It's the version of yourself you had to become to earn it. That was always the prize.

#hormozi #alexhormozi #businessmindset #entrepreneurship #mindsetshift #personalgrowth #successmindset #entrepreneurlife #businessgrowth #mindsetmatters #growthmindset #entrepreneurmindset #selfimprovement #businessquotes",success,2,2025-12-19T09:34:38.448858,2025-12-19T09:41:13.502932,,0,3,,,,
DGEddghT3Yt-2.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\foundr\DGEddghT3Yt-2.mp4,"A single blazer. £12,000 in savings. Zero industry connections. That's all @aimeesmalex had when she walked away from corporate life to launch @oddmuselondon.

Fast forward to today: she's built a multi-million dollar fashion empire that's been copied by industry giants like PrettyLittleThing—and she's fought back to protect what she created.

@foundr's CEO & Founder @NathanChan sits down with Aimee to explore the unfiltered reality of building a global brand from scratch—the product that sold out overnight, the funding tactics that eliminated the need for investors, and the precise moment she knew there was no turning back from her 9-5.

This conversation delivers the blueprint for turning an idea into an obsession-worthy brand, even when you're starting with nothing but belief and determination.

Search 'Foundr Aimee Smale' on YouTube to watch the full episode.

Drop your biggest takeaway in the comments after watching!

Comment ""PODCAST"" for a DM with the full conversation.

#entrepreneur #businesspodcast #fashionbrand #startupstory #womenentrepreneurs #buildinpublic #smallbusiness #brandstrategy #founderpodcast #businessgrowth",success,1,2025-12-19T09:40:01.042897,2025-12-19T09:43:14.684877,,2,3,2025-12-19T09:44:50.993068,,,
DKK9uTfBQ0E-2.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\charliekirk1776\DKK9uTfBQ0E-2.mp4,"A profound question posed by @charliekirk1776 that cuts to the heart of human nature and morality. Throughout history, philosophers, theologians, and thinkers have wrestled with this very dilemma—are we born inherently good, or is goodness something we must choose and cultivate? The answer shapes everything from how we build societies to how we raise our children. Where do you stand on this timeless debate?

#debate #philosophy #moralquestions #humanvirtue #criticalthinking #worldview #ethics #morality #goodvsevil #charliekirk #tpusa #turningpointusa #conservativethought #politicaldebate #deepquestions",success,3,2025-12-19T09:35:38.482107,2025-12-19T09:41:34.961754,,0,3,,,,
DM-44rESe08-1.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\theovon\DM-44rESe08-1.mp4,"A.J. and @theovon talking about what's actually good 🗣️

#podcast #comedy #funny #theo #theovon #thisPastWeekend",success,2,2025-12-19T09:35:55.892422,2025-12-19T09:40:18.759889,,0,3,,,,
DRNyLf3EWAQ-1.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\alexjones.tv\DRNyLf3EWAQ-1.mp4,"A deep state reckoning could be on the horizon as Trump prepares his next moves against establishment players. @alexjones.tv breaks down the potential arrests that have Washington insiders on edge this November.

#infowars #trumpwon #maganews",success,4,2025-12-19T09:36:38.503140,2025-12-19T09:41:32.729239,,0,3,,,,
DKxT_lZP9UI-2.mp4_podcast,podclipcrafters,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\timferriss\DKxT_lZP9UI-2.mp4,"Chris Hutchins breaks down the art of deal-making and credit card points optimization in his latest conversation with @timferriss 🎙️ The deal master himself shares his strategies in an episode that's streaming everywhere now.

Available on Apple Podcasts, Spotify, YouTube, and all major podcast platforms.

#podcast #TimFerrissPodcast #ChrisHutchins #creditcardpoints #travelhacking #deals #podcasting #interview",failed,3,2025-12-19T09:36:55.891992,2025-12-19T09:41:33.089962,"terminated: we disabled your account - Vision analysis: This Instagram screen shows a permanent account termination notice for the user ""podclipcrafters."" The account was disabled on December 5, 2025 for violating Instagram's Community Standards, and the platform explicitly states that no appeals are allowed and all data will be permanently deleted.

The account termination appears to be final and irreversible - Instagram indicates this is not a temporary block but a complete ban. There is no fi",1,3,,terminated,account,
DDX5etiurRB-2.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\michaeljknowles\DDX5etiurRB-2.mp4,"When schools strip away truth and virtue from the classroom, @michaeljknowles breaks down the inevitable consequences. The results speak for themselves.

#education #truth #virtue #conservative #politics #culture #christianity #faith #values #traditional #america #students #teaching #schools #morality",success,4,2025-12-19T09:37:55.879475,2025-12-19T09:43:24.000372,,0,3,,,,
DGOP0z5JugN-1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\simonsinek\DGOP0z5JugN-1.mp4,"What transforms death from society's greatest taboo into life's most powerful teacher? @simonsinek discovered the answer through Alua, a leading death doula whose unconventional career helps the dying—and their families—navigate life's final chapter with grace. From deathbed confessions to financial logistics, Alua's work spans the practical and profound. Her surprising take? Confronting mortality isn't morbid—it's liberating. In their conversation, she reveals how a lawyer becomes a death doula, the wisdom shared in final moments, and why embracing our finite existence unlocks authentic living. Full episode available now on all podcast platforms 🎧

#podcast #simonsinek #deathdoula #mortality #endoflife #grief #deathanddying #lifecoach #inspiration #vulnerability #authenticliving #podcasts #conversation #wisdom",success,0,2025-12-19T09:38:59.061808,2025-12-19T09:42:43.109252,,0,3,,,,
DK1-ho6vCyh-2.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\askvinh\DK1-ho6vCyh-2.mp4,"Looking at this wholesome moment, it's clear that @askvinh has discovered something most parents overlook: the untapped power of simply humming.

While everyone's searching for the perfect lullaby playlist or white noise machine, he's mastered a 5-minute sleep technique using nothing but his voice — no words, no technology, just pure human connection.

What makes this work isn't perfection. It's presence. It's the willingness to use the one instrument we're all born with but rarely learn to play.

His baby girl doesn't need Grammy-level vocals. She needs the comfort that comes from her dad's sound, delivered with what he calls ""delusional level of vocal confidence.""

That's the real superpower — showing up fully, voice and all, in those quiet moments that matter most.

#DadLife #Parenting #Fatherhood #GirlDad #ParentingTips #DadTok #FatherDaughter #BabyGirl #ParentHack #Humming #VoiceHealing #MindfulParenting #ConnectionOverPerfection #NewDad #ParentingWin",success,2,2025-12-19T09:40:28.807227,2025-12-19T09:44:55.225788,,0,3,,,,
