job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,platform
kgcH1SK2JHZM-4.mp4_viral,castreelroom,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\kgcH1SK2JHZM-4.mp4,i'm drinking lukewarm tap water and scrolling linkedin while my peers buy private islands,success,0,2025-12-17T07:52:43.959354,2025-12-17T07:58:28.200513,,2,3,2025-12-17T07:57:33.921635,,,,instagram
MOMhEL_WQZwa-3.mp4_viral,bitepodstream,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\MOMhEL_WQZwa-3.mp4,"Grateful for this opportunity to focus and grow, one step at a time.",success,0,2025-12-17T16:01:20.352503,2025-12-17T16:04:25.436671,,0,3,2025-12-17T08:03:42.759558,,,,instagram
9XBN4HSuOfDQ-4.mp4_viral,miccastreels,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\9XBN4HSuOfDQ-4.mp4,Are you ready to transform your life? Stop making excuses and start making progress today.,success,0,2025-12-17T16:18:29.938134,2025-12-17T16:23:27.782729,,4,10,2025-12-17T16:20:23.760455,,,,instagram
FrKfqRnLES27-4.mp4_viral,talknipvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\FrKfqRnLES27-4.mp4,Some people work hard while others make TikToks and cry about success they didn't earn.,success,1,2025-12-17T16:15:40.577069,2025-12-17T16:19:07.562397,,3,10,,,,,instagram
NCSHIByE56_B-2.mp4_viral,snappoddaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\NCSHIByE56_B-2.mp4,"From broke and lost to ""Look at me now, world domination complete!""",success,4,,2025-12-17T08:00:08.043128,,0,3,,,,,instagram
JO5rXw7almdi-3.mp4_viral,podtalkvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\JO5rXw7almdi-3.mp4,I'm about to cash out and ghost. $100M looks good on me.,success,3,2025-12-17T07:53:45.190632,2025-12-17T08:02:40.355858,,0,3,,,,,instagram
EWIrikmKuKej-3.mp4_viral,castcliplab,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\EWIrikmKuKej-3.mp4,"Cool, so your dream is being a professional cheerleader. Got it.",success,0,2025-12-17T07:58:38.247465,2025-12-17T08:08:38.387453,,0,3,,,,,instagram
zm1YvyjPnSla-3.mp4_viral,podblinkclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\zm1YvyjPnSla-3.mp4,Patience whispers secrets to those who dare to listen.,success,4,2025-12-17T08:00:18.113094,2025-12-17T08:06:53.158494,,0,3,,,,,instagram
LbO655vyX7rF-4.mp4_viral,micstreamclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\LbO655vyX7rF-4.mp4,Bold declaration. Game-changing moment.,claimed,0,2025-12-17T17:20:25.328701,2025-12-17T17:20:07.482030,Connection failed,1,10,,connection_failed,infrastructure,,instagram
nDoLocRN7I3l-2.mp4_viral,castbitecore,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\nDoLocRN7I3l-2.mp4,What dreams are you supporting your friends through right now?,claimed,1,2025-12-17T17:18:55.677932,2025-12-17T16:26:38.617983,"Exception: UI dump failed (InvalidSessionIdException): Message: A session is either terminated or not started; For documentation on this error, please visi",0,10,,exception,infrastructure,,instagram
0QOyaLGijyV8-1.mp4_viral,podpeakbytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\0QOyaLGijyV8-1.mp4,Are you letting life pass you by while kids are building wealth online? Time to level up.,success,4,2025-12-17T08:07:03.217362,2025-12-17T08:15:34.422076,,0,3,,,,,instagram
x2fmdlkFzlra-3.mp4_viral,micmotionclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\x2fmdlkFzlra-3.mp4,Can you ever truly balance all of these without something falling apart?,retrying,1,2025-12-17T16:30:45.145562,2025-12-17T16:32:18.437579,"Exception: UI dump failed (MaxRetryError): HTTPConnectionPool(host='127.0.0.1', port=4725): Max retries exceeded with url: /session/67aeeb2a-d2",0,10,,exception,infrastructure,,instagram
HfvjrYMeyYmN-2.mp4_viral,podcutvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\HfvjrYMeyYmN-2.mp4,"Stranded wings, frozen silence.",retrying,0,2025-12-17T16:30:51.557990,2025-12-17T16:32:10.483402,Connection failed,0,10,,connection_failed,infrastructure,,instagram
uGQQ54D4ubk--3.mp4_viral,talkreelnation,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\uGQQ54D4ubk--3.mp4,"Turned $20 into $2K overnight. Watch and learn, peasants.",failed,3,2025-12-17T08:10:26.616467,2025-12-17T08:12:46.240616,"logged_out: create new account - Vision analysis: This is Instagram's login screen showing the user is logged out of their account. The screen displays the standard login interface with username/email and password fields, plus a ""Create new account"" button at the bottom. The user needs to log back into their existing account or create a new one to access Instagram's features and posting capabilities.",1,3,,logged_out,account,,instagram
z_LQ2Z6Q9Avd-3.mp4_viral,podbytezone,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\z_LQ2Z6Q9Avd-3.mp4,Courage is the bridge between fear and your dream life.,success,0,2025-12-17T08:18:28.511306,2025-12-17T08:24:28.804273,,2,3,2025-12-17T08:23:18.459911,,,,instagram
2PgIn1vZtsfR-3.mp4_viral,podtalknexus,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\2PgIn1vZtsfR-3.mp4,Think you've got what it takes to live on the edge? Prove it.,success,3,2025-12-17T08:12:56.284805,2025-12-17T08:22:36.515891,,0,3,,,,,instagram
XFOjJ3nl03Kx-4.mp4_viral,voxpodsnaps,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\XFOjJ3nl03Kx-4.mp4,"Sometimes you just have to believe things will fall into place, no matter what.",success,1,2025-12-17T08:24:08.640195,2025-12-17T08:31:37.962946,,2,3,2025-12-17T08:28:58.603428,,,,instagram
gO791m5_xD2w-3.mp4_viral,clipsfromthemic,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\gO791m5_xD2w-3.mp4,"Technology connects us, but the journey matters more than the destination.",retrying,0,2025-12-17T16:39:45.056139,2025-12-17T16:43:56.131010,"ProtocolError: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",0,10,,exception,infrastructure,,instagram
62cg6RKRuO0k-2.mp4_viral,castreelworks,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\62cg6RKRuO0k-2.mp4,"Living large, squad secured.",success,2,2025-12-17T08:19:49.972818,2025-12-17T08:27:15.949642,,0,3,,,,,instagram
