job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number,platform
DOG15nhjtNE-1.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\simonsinek\DOG15nhjtNE-1.mp4,"@simonsinek sits down with @arthurcbrooks to unpack the formula that's guided Brooks through every major life pivot—from French horn player to political scientist to Harvard professor.

The secret? That gut-check moment needs to hit different: 80% excitement, 20% fear, and zero percent deadness. Brooks calls it his personal litmus test for knowing when an opportunity will actually deliver happiness.

Their full conversation dives deeper into trusting your instincts when big decisions are on the line.

🎙️ ""Your Instincts Know What You Want with author Arthur Brooks""

#SimonSinek #ArthurBrooks #ABitOfOptimism #Podcast #CareerAdvice #LifeDecisions #PersonalGrowth #Leadership #Happiness #TrustYourGut #NewOpportunities #PodcastClip",success,0,2025-12-15T14:55:00.368791,2025-12-15T15:00:23.284999,,0,3,,,,,instagram
DJmWO-QJk2O-1.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\hubermanlab\DJmWO-QJk2O-1.mp4,"Stanford professor Christopher Gardner joins @hubermanlab to dissect food science myths backed by controlled research. The discussion reveals surprising findings: Americans who react badly to gluten often have no issues eating bread in Europe—potentially due to wheat variety differences. Gardner also addresses the viral claim about raw dairy reversing lactose intolerance, sharing data from his short-term studies. Huberman, who personally struggles with dairy, pressed for answers on why hard cheeses work differently than milk. The two scientists debated protein needs but ultimately found common ground that applies across all eating styles. Gardner's ""food interventionist"" approach examines how different diets actually affect weight, inflammation, and metabolic health through rigorous testing rather than speculation.

@stanford.med @stanford @cgardnerphd

#neuroscience #science #ciencia #neurociência #food #dairy #allergies #milk #meat #vegan #vegetarian",success,0,2025-12-15T19:02:54.733950,2025-12-15T19:11:57.697643,,0,3,,,,,instagram
DGdNnKwibhq-2.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\askvinh\DGdNnKwibhq-2.mp4,"The clarity hack nobody talks about? It's not about changing your accent—it's about mastering your pace. When you intentionally slow down your speech, you give your mouth the time it needs to fully articulate each word. The result? Crystal clear communication that commands attention. @askvinh breaks down why speed is the real culprit behind miscommunication, especially for non-native speakers looking to be better understood.

#communication #publicspeaking #communicationskills #accent #speakingskills #clarity #articulation #speakingtips #confidence #presentation #leadershipskills #professionalskills #careeradvice #workplacecommunication",claimed,4,2025-12-17T07:43:15.892334,2025-12-17T07:43:15.626764,Connection failed,2,3,2025-12-17T07:48:15.626788,connection_failed,infrastructure,,instagram
C1-zo7fOIUS-1.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\moreplatesmoredates\C1-zo7fOIUS-1.mp4,"Progress stalling despite putting in the work? @moreplatesmoredates breaks down the critical factors most people overlook when their gym results plateau. He explains why consistency alone isn't enough and what actually needs to change to see real gains.

#fitness #gym #workout #bodybuilding #fitnessmotivation #gymmotivation #training #muscle #fitnesstips #gymtips #progressnotperfection #plateaubreaker #gains",success,3,2025-12-15T14:58:00.398770,2025-12-15T15:02:01.692459,,0,3,,,,,instagram
DIkQayQNb_B-1.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\legionofskanks\DIkQayQNb_B-1.mp4,"Mark your calendars for November 14th-16th, 2025 because New Orleans is about to host the most massive Skankfest in history 🎭 @legionofskanks just dropped the official lineup and it's absolutely stacked. General admission tickets drop May 2nd at 1pm ET exclusively at skankfest.com - set those reminders now 📲

#skankfest #skankfestnola #standupcomedy #comedy #neworleans #nola #comedyfestival #livecomedy #standup #comedians #podcasts #legionofskanks",success,4,2025-12-15T14:59:00.470370,2025-12-15T15:03:18.599387,,0,3,,,,,instagram
DO9Xnk8DSFA-1.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\thediaryofaceopodcast\DO9Xnk8DSFA-1.mp4,"Dr. Pradip Jamnadas challenges common assumptions about fruit consumption, revealing how natural sugars can turn problematic when eaten in excess. According to him, elevated sugar levels—regardless of their source—affect insulin function and overall wellness. The nutrients in fruit don't necessarily outweigh the potential risks of overconsumption.

Should fruit carry health warnings? Drop your thoughts below.

Via @pradipjamnadasmd x @thediaryofaceopodcast

#fruit #healthylifestyle #insulin #bloodsugar #nutritionmyths #wellness #healthtips #sugarfree #metabolichealth #doctoradvice #healthyeating #nutritionist #drpradipjamnadas",success,0,2025-12-15T15:00:33.342398,2025-12-15T15:05:59.707322,,0,3,,,,,instagram
DN_JWcBCcrn-2.mp4_podcast,podclipcrafters,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\codiesanchez\DN_JWcBCcrn-2.mp4,"The boring business revolution has a leader, and her name is @codiesanchez.

She runs Contrarian Thinking—an investment and advisory firm proving that laundromats, car washes, gyms, manufacturing shops, and landscaping companies are where real wealth is built. No hype. No cash burns. Just businesses that actually make money.

Here's the stat that matters: 79% of all U.S. millionaires built their wealth this way.

Her firm has trained over 9,000 operators, investors, and dealmakers who are now outperforming major private equity shops. The secret? Buying unsexy, profitable businesses and scaling them into cash-flowing empires.

She's opening up her once-a-year virtual intensive where she'll reveal:
🔑 Her proprietary deal-finding system
🔑 The exact playbook for buying small businesses today
🔑 Her step-by-step roadmap to cash-flow through acquisitions

Comment ""OWN IT"" for access. Learn the Contrarian way to buy, build, and scale.

#BusinessAcquisition #SmallBusiness #Entrepreneurship #WealthBuilding #BusinessOwner #PassiveIncome #FinancialFreedom #BusinessStrategy #Investing #CashFlow",claimed,2,2025-12-17T07:39:52.325318,2025-12-16T10:26:54.340805,,0,3,,,,,instagram
DNV1CKgOI3G-1.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\foundmyfitness\DNV1CKgOI3G-1.mp4,"Looking at the research on alcohol and breast cancer risk might change how women think about that evening glass of wine. @foundmyfitness breaks down the dose-response relationship that exists between alcohol consumption and breast cancer development in women. The data shows each daily drink increases lifetime risk by approximately 4%, with no safe minimum threshold identified by scientists. For context: breast cancer affects 1 in 8 women during their lifetime, making even modest risk elevation significant. Women carrying genetic predispositions or dealing with factors like obesity face amplified impact from alcohol consumption. This information enables women to base health decisions on established science rather than assumptions about ""moderate"" drinking being harmless.

#breastcancerawareness #breastcancer #alcoholawareness #womenshealth #healthylifestyle #cancerprevention #sciencebased #healthtips #wellness #longevity",success,3,2025-12-15T15:02:11.759120,2025-12-15T15:10:29.568413,,0,3,,,,,instagram
DRXIBF9kdSd-1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\dave.asprey\DRXIBF9kdSd-1.mp4,"The moment he recognizes a pattern is the moment everything shifts. @dave.asprey explains how becoming conscious of automatic reactions transforms mental health from the inside out. It's not theory—it's daily practice. Spotting the thought before it spirals. Recognizing the trigger before the reaction. Choosing differently because awareness creates space between stimulus and response. His book Heavily Meditated breaks down how to build this skill without the mystical fluff—just practical steps anyone can use.

#MentalHealthAwareness #MindfulnessMatters #SelfAwareness #MentalWellness #ConsciousLiving",success,4,2025-12-15T15:03:28.643064,2025-12-15T15:07:40.492200,,0,3,,,,,instagram
DRS_oNxkmN3-2.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\therealbradlea\DRS_oNxkmN3-2.mp4,"A powerful reminder that the real work happens when nobody's watching. @therealbradlea breaks down why chasing validation will never fill the void—it's the internal commitment that creates lasting change. The applause fades, but the discipline you build in silence becomes who you are.

#motivation #mindset #discipline #personaldevelopment #selfimprovement #success #growth #authenticity #realwork #innerstrength #commitment #motivational",success,0,2025-12-15T15:06:42.166222,2025-12-15T15:09:40.826301,,0,3,,,,,instagram
