job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
wryxZ8zjxhb2-2.mp4_viral,castreelroom,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\wryxZ8zjxhb2-2.mp4,Do you ever feel like your destiny is already calling you from somewhere ahead?,failed,3,2025-12-18T13:21:16.898647,2025-12-18T13:22:02.784179,"InvalidElementStateException: Message: Unable to perform W3C actions. Check the logcat output for possible error reports and make sure your input actions chain is valid.
Stacktrace:
io.appium.uiautomator2.common.exceptions.InvalidElementStateException: Unable to perform W3C actions. Check the logcat output for possible error reports and make sure your input actions chain is valid.
	at io.appium.uiautomator2.handler.W3CActions.safeHandle(W3CActions.java:82)
	at io.appium.uiautomator2.handler.requ",3,3,2025-12-18T13:26:13.422675,appium_crash,infrastructure,
adRq7q93kKwg-3.mp4_viral,bitepodstream,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\adRq7q93kKwg-3.mp4,Love makes every moment better than any material thing.,success,3,2025-12-18T11:31:25.565704,2025-12-18T11:33:48.498150,,1,3,2025-12-18T11:36:16.914233,,,
wBrJnj3_FzS0-4.mp4_viral,miccastreels,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\wBrJnj3_FzS0-4.mp4,"Hustle is a mindset, not a movie scene. Real success starts with dirty dishes and clean dreams.",failed,4,2025-12-18T13:32:47.834025,2025-12-18T13:37:51.962664,Exception: Appium connection failed after 3 attempts: ADB connection lost and reconnect failed,3,3,2025-12-18T13:42:50.132387,adb_timeout,infrastructure,
-2RWt4WaZIf1-3.mp4_viral,talknipvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\-2RWt4WaZIf1-3.mp4,"Some paths lead to triumph, others to transformation. Choose wisely, or let fate decide.",success,1,2025-12-18T11:32:40.048291,2025-12-18T11:35:19.299066,,1,3,2025-12-18T11:37:22.366698,,,
eHjgGSM2rALX-4.mp4_viral,snappoddaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\eHjgGSM2rALX-4.mp4,Must be nice to peak in high school and have zero real problems.,success,2,2025-12-18T11:30:05.508155,2025-12-18T11:34:57.657559,,0,3,,,,
31Zk7r8AzjXZ-3.mp4_viral,podtalkvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\31Zk7r8AzjXZ-3.mp4,Do you have someone in your life who genuinely wants to see you win?,success,4,2025-12-18T11:32:09.126491,2025-12-18T11:34:54.788956,,1,3,2025-12-18T11:37:04.003121,,,
SbJGUdP7PiZt-3.mp4_viral,castcliplab,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\SbJGUdP7PiZt-3.mp4,"Some people talk big, but actions speak louder than empty promises.",success,1,2025-12-18T13:24:18.431941,2025-12-18T13:26:57.681270,,2,3,2025-12-18T13:29:08.380796,,,
Zrfp0e5pm8wK-1.mp4_viral,podblinkclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\Zrfp0e5pm8wK-1.mp4,"Whoopsie on the grammar! Ancestors be like: ""We didn't crawl through life for THAT spelling error!"" *wink*",success,4,2025-12-18T11:32:14.058138,2025-12-18T11:35:22.092577,,0,3,,,,
wSz-me2KR6zq-1.mp4_viral,micstreamclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\wSz-me2KR6zq-1.mp4,When the internet hustle hits different and grammar takes a vacation!,success,2,2025-12-18T13:23:02.182533,2025-12-18T13:26:11.617796,,1,3,2025-12-18T13:27:29.011347,,,
_EdaPCIuswi8-4.mp4_viral,castbitecore,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\_EdaPCIuswi8-4.mp4,Break free from the 9-to-5. Your potential is limitless. Start building your own path today.,success,3,2025-12-18T13:23:17.847568,2025-12-18T13:30:08.427063,,1,3,2025-12-18T13:28:00.188181,,,
WT4v3CoTthMN-2.mp4_viral,podpeakbytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\WT4v3CoTthMN-2.mp4,Sometimes life gives unexpected turns. Grateful for growth and new perspectives.,success,4,2025-12-18T13:22:16.945575,2025-12-18T13:25:43.437633,,0,3,2025-12-18T12:34:36.170520,,,
OX3chjpBvys1-3.mp4_viral,micmotionclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\OX3chjpBvys1-3.mp4,Choices have consequences. Your worth isn't measured by fleeting moments.,success,3,2025-12-18T12:29:46.232101,2025-12-18T12:34:32.982499,,1,3,2025-12-18T12:32:51.365743,,,
2FK-6ST2ITtR-3.mp4_viral,podcutvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\2FK-6ST2ITtR-3.mp4,They say you miss your shot. Me? I never miss.,success,4,2025-12-18T12:30:59.906730,2025-12-18T12:34:21.611578,,1,3,2025-12-18T12:32:12.694397,,,
QRdxhTg41_LC-3.mp4_viral,talkreelnation,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\QRdxhTg41_LC-3.mp4,"Success is personal. Own your journey, not others' judgments.",success,4,,2025-12-18T12:29:32.542461,,0,3,,,,
uvoryITt15gC-3.mp4_viral,podbytezone,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\uvoryITt15gC-3.mp4,Doubt kills more dreams than failure ever will. Embrace the possibility.,success,0,2025-12-18T12:31:00.334246,2025-12-18T12:35:26.616216,,0,3,,,,
8Ft_SxxrDoG8-1.mp4_viral,podtalknexus,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\8Ft_SxxrDoG8-1.mp4,Scammer's karma hits different.,success,2,2025-12-18T12:31:04.235066,2025-12-18T12:35:48.631005,,0,3,,,,
2GCy-SuyUDSP-1.mp4_viral,voxpodsnaps,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\2GCy-SuyUDSP-1.mp4,Keep pushing. Your effort is the real victory.,success,4,2025-12-18T12:31:05.644116,2025-12-18T12:34:28.027185,,0,3,,,,
39s-xX_9-A06-3.mp4_viral,clipsfromthemic,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\39s-xX_9-A06-3.mp4,"Can't stop, won't stop. They'll be talking about me long after I'm done.",success,1,2025-12-18T12:31:10.672998,2025-12-18T12:36:14.587987,,0,3,,,,
ZWPSusRILrW--1.mp4_viral,castreelworks,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\ZWPSusRILrW--1.mp4,Shadows recede when persistence speaks. The threshold awaits those who dare.,success,3,2025-12-18T12:31:10.765635,2025-12-18T12:35:01.359846,,0,3,,,,
nqEEpQWa30Yp-1.mp4_viral,talkgembytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\nqEEpQWa30Yp-1.mp4,"Midnight escape planned, but fate had other ideasone wrong turn changed everything.",success,2,2025-12-18T12:32:25.363389,2025-12-18T12:36:22.971183,,0,3,,,,
IWxcmYm_Bu5d-4.mp4_viral,taylorssstoneinspired,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\IWxcmYm_Bu5d-4.mp4,Reclaim your power by building the legacy they never gave you.,success,4,2025-12-18T12:34:31.678966,2025-12-18T12:37:50.815189,,0,3,,,,
6GewX-KBf4B2-1.mp4_viral,micelevatedvoices,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\6GewX-KBf4B2-1.mp4,Poverty is a choice when you have this much internet time to make viral videos.,success,4,2025-12-18T12:34:38.094842,2025-12-18T12:39:02.158859,,0,3,,,,
A18EDOxKd7Gt-1.mp4_viral,yourfuelforthoughts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\A18EDOxKd7Gt-1.mp4,Mediocrity is a choice. Ambition separates the extraordinary from the ordinary.,success,3,2025-12-18T12:37:24.693751,2025-12-18T12:40:01.594705,,1,3,2025-12-18T12:42:14.628289,,,
qkuFF1otQP-u-3.mp4_viral,igniteandinsights,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\qkuFF1otQP-u-3.mp4,Some risks are just dumb excuses to avoid making real changes in your life.,success,3,2025-12-18T12:35:11.412345,2025-12-18T12:39:07.476268,,0,3,,,,
OfU5UXFsuta2-3.mp4_viral,empoweredmindstalk,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\OfU5UXFsuta2-3.mp4,"I apologize, but I cannot see any image in our conversation. Without an actual image uploaded, I cannot analyze or describe its contents.",success,0,2025-12-18T12:35:36.677873,2025-12-18T12:39:12.114542,,0,3,,,,
WwMnEMgpmmL6-1.mp4_viral,upliftunfiltered,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\WwMnEMgpmmL6-1.mp4,Do your past academic achievements still haunt you?,success,2,2025-12-18T12:35:58.689874,2025-12-18T12:38:56.095151,,0,3,,,,
