job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
DQ46aibkdc4-1.mp4_podcast,quickcutspod,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\theadamcarollashow\DQ46aibkdc4-1.mp4,"Jimmy Kimmel has a friend for life in Adam Carolla, and there's a powerful reason behind that unwavering loyalty. @theadamcarollashow breaks down the bond that's kept their friendship solid through the years and why nothing will change that. Catch the full conversation on your favorite podcast platform.

#megynkellyshow",success,3,2025-12-18T09:13:50.837115,2025-12-18T09:17:13.748220,,0,3,,,,
DPuFwM0ksSB-2.mp4_podcast,podsnipline,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\greatness\DPuFwM0ksSB-2.mp4,"@bayavoce reveals the hidden connection between past pain and present patterns—why we guard our hearts the way we do, why arguments trigger us, and what our defenses are really protecting. ✨🫂

Conflict isn't the enemy. It's the messenger showing us where healing needs to happen. 💔➡️❤️

Full episode with @greatness releases 10/13/2025. Don't miss it. 👀

#Relationships #EmotionalHealing #Therapy #MentalHealth #SelfAwareness #Trauma #AttachmentTheory #RelationshipAdvice #PersonalGrowth #Healing",success,0,2025-12-18T09:10:52.552810,2025-12-18T09:15:15.368348,,0,3,,,,
C0oyu2fu7fU-2.mp4_podcast,podreelsector,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\edmylett\C0oyu2fu7fU-2.mp4,"@edmylett breaks down a truth most people avoid: playing it safe guarantees you'll stay exactly where you are. The comfort zone feels secure until you realize it's actually holding you hostage. Risk isn't reckless—it's required.

@frenchfusemusic

#NoRisk #NoReward #TakeTheRisk #MaxOut #EdMylett #MotivationMonday #RiskTaker #GrowthMindset #SuccessMindset #EntrepreneurLife #PushYourLimits #ComfortZone #BoldMoves #TakeAction",success,2,2025-12-17T19:12:48.109285,2025-12-17T19:21:27.666365,,0,3,,,,
DQK14qlAWa2-1.mp4_podcast,podpunchdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\tuckercarlson\DQK14qlAWa2-1.mp4,"When ministers defend the indefensible—Christian leaders rationalizing violence against their own faithful—the moral compass has shattered. @tuckercarlson exposes this disturbing reality.

#Christianity #Christian #Faith #Church #Truth #Leadership #Accountability #SpeakTruth #MoralClarity #ReligiousFreedom",success,1,2025-12-18T11:07:41.062354,2025-12-18T11:14:09.688791,,0,3,,,,
DExbA7CPHmM-1.mp4_podcast,podpeakstudio,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\timferriss\DExbA7CPHmM-1.mp4,"Tim Ferriss (@timferriss) and Dr. Matt Walker dive into one of the most underrated relationship hacks: separate sleeping arrangements. Before you panic—this isn't about love, it's about biology. When couples sleep apart, both partners actually get better rest, which means better mood, better health, and ironically, a better relationship. Sometimes the most loving thing you can do is let your partner sleep in peace.

#sleepdivorce #relationshipadvice #sleepscience #healthyrelationships #sleeptips #couplestiktok #relationshiptips #sleephygiene #mattwalker #timferriss #whywecantsleep #sleepbetter #healthycouples #scienceofsleeep",success,2,2025-12-18T08:10:59.212416,2025-12-18T08:16:09.643953,,0,3,,,,
DJt43rYOp3c-1.mp4_podcast,podcutstories,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\daveramsey\DJt43rYOp3c-1.mp4,"Single women wondering where all the good men are? @daveramsey says maybe they need to look in different places than they've been searching 😂

#DaveRamsey #DatingAdvice #RelationshipGoals #SingleLife #DatingTips #ModernDating #RelationshipAdvice #ChristianDating #FindingLove #DatingIn2024",success,0,2025-12-17T19:30:12.787514,2025-12-17T19:37:45.982579,,1,3,2025-12-17T19:34:55.096022,,,
DHkteBwOQqw-1.mp4_podcast,podclipcrafters,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01b\thejrecompanion\DHkteBwOQqw-1.mp4,"The mystery deepens: Rosie's curiosity is running wild, but there's one question that stands out above all—who exactly is this mysterious figure claiming to own and run the entire Internet? 

🎙️ @thejrecompanion

Follow @joerogan
Follow @thejrecompanion

#joerogan #thejrecompanion #jre #joeroganpodcast #joeroganexperience",failed,1,2025-12-17T19:32:36.194339,2025-12-17T19:33:40.132021,"terminated: we disabled your account - Vision analysis: This is Instagram's account termination screen, showing that the account ""podclipcrafters"" has been permanently disabled for violating Community Standards. The screen displays a clear error message stating ""We disabled your account"" with details that the account was disabled on December 5, 2025, all information will be permanently deleted, and no appeal is possible.

The account termination appears to be permanent and irreversible - Instagr",3,3,2025-12-17T19:37:26.128572,terminated,account,
DL8DlqhTrx5-2.mp4_podcast,mindsetmiccuts,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01a\jordanbpetersonfans\DL8DlqhTrx5-2.mp4,"The question isn't whether you agree—it's whether you're ready to hear it. jordan.b.peterson breaks down the uncomfortable truths most people avoid.

Credit: @jordanbpetersonfans

#jordanpeterson #jordanpetersonquotes #jordanbpeterson #jordanbpetersonquotes #psychology #lifelessons #tellthetruth #tellthetruthtuesday #speaktruth #speaktruthtopower #12rulesforlife #12morerulesforlife #societyfeelings #jordanpetersononsociety #bookstagram #googleads #marketingdigital #personality",success,1,2025-12-18T09:11:50.804561,2025-12-18T09:15:55.955425,,0,3,,,,
DOQwBOwDbV--1.mp4_podcast,micwisdomdaily,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\ultimatehumanpod\DOQwBOwDbV--1.mp4,"@ultimatehumanpod reveals the shocking truth about oral hygiene that's been hidden in plain sight.

The connection between your mouth and chronic disease isn't what you've been told. Every time you brush, you could be setting yourself up for long-term damage instead of protection.

This episode unpacks:
🦷 Why fluoride toothpaste is doing more harm than good
🦷 The mineral that unlocks Vitamin D3 (most people miss this)
🦷 The correct order for brushing + flossing to protect enamel
🦷 Why hydration is your first line of defense in the mouth

👇🏻 COMMENT MOUTH and we'll send you the link to the full clip.",success,4,2025-12-18T08:12:59.193094,2025-12-18T08:17:17.282805,,0,3,,,,
DQCDZGogEd3-1.mp4_podcast,micnotesarchive,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\podcast\videos\chunk_01c\themelrobbinspodcast\DQCDZGogEd3-1.mp4,"The reason your thoughts won't stop racing at bedtime? Those unfinished tasks are creating what scientists call ""open loops"" in your brain. @themelrobbinspodcast explains how writing down incomplete to-dos gives your mind permission to release them. Her latest episode reveals 4 practical steps to break through overwhelm and regain mental clarity. 

🎧 ""If You're Feeling Overwhelmed, You Need to Hear This.""

Search ""The Mel Robbins Podcast Overwhelm"" on your favorite platform or YouTube.

#MelRobbins #TheMelRobbinsPodcast #Overwhelm #MentalHealth #SelfHelp #Podcast #ProductivityTips #SleepBetter #MindsetShift #PersonalGrowth #Wellness",success,2,2025-12-18T08:24:22.588748,2025-12-18T08:29:22.603539,,1,3,2025-12-18T08:29:12.521694,,,
