job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type
DMNmeE-oIXY-1,quickcutspod,chunk_01c\2bears.1cave\DMNmeE-oIXY-1.mp4,Tom Segura's transformation has the internet doing double takes 👀 The side-by-side from @2bears.1cave shows what dedication really looks like over 24 months. #2Bears1Cave #bertkreischer #tomsegura #2bears #fitness #fit,success,0,2025-12-13T12:06:31.084726,2025-12-13T12:09:36.249254,,,,,
DHMbE9rI-TP-1,podsnipline,chunk_01c\2bears.1cave\DHMbE9rI-TP-1.mp4,"The motorcycle era begins for Bart 🏍️ @2bears.1cave drops this gem in episode 279 where life just got a whole lot more interesting

#2Bears1Cave #2bears1cavepodcast",success,0,2025-12-13T15:41:45.165170,2025-12-13T15:46:36.809315,,0,,,
DI6mE7PtOhc-1,podreelsector,chunk_01c\2bears.1cave\DI6mE7PtOhc-1.mp4,"The secret weapon elite athletes don't talk about? It's hiding in plain sight on your face. @2bears.1cave reveals how a simple Nasal Dilator Kit is transforming workout performance for thousands across the country—better oxygen flow means pushing past old limits and bouncing back quicker than ever. Link in bio to level up. 📌

#nasalbreathing #nasaldialator #trending",success,0,2025-12-13T12:14:32.996137,2025-12-13T12:17:06.855734,,,,,
DF_VttIyX2q-1,podpunchdaily,chunk_01c\2bears.1cave\DF_VttIyX2q-1.mp4,"The kind of dad wisdom that actually sticks 💯 @2bears.1cave serving up life lessons in Ep. 15

#2bears1cave #2bears1cavepodcast",success,1,2025-12-13T12:14:38.495636,2025-12-13T12:16:50.158770,,,,,
DLbC0dqoT2V-1,podpeakstudio,chunk_01c\2bears.1cave\DLbC0dqoT2V-1.mp4,Jim Norton joins the podcast and the crew gets deep into what makes an H Man summer truly unforgettable. @2bears.1cave sits down with @jimnortonofficial for episode 294 where Tom Segura and the gang break down Tim's latest declaration. #2Bears1Cave #2bears #2B1C #TomSegura,success,2,2025-12-13T15:53:22.559522,2025-12-13T16:00:27.321893,,1,,,
DFqpKI_z4rk-1,podcutstories,chunk_01c\2bears.1cave\DFqpKI_z4rk-1.mp4,"The Kreischer and Segura children were clearly born without a fear gene, as @2bears.1cave can confirm 😂

#2bears1cave #comedians #podcastersofinstagram",success,1,2025-12-13T12:39:07.568470,2025-12-13T12:41:24.379718,,,,,
DJxE_WltdUR-1,podclipcrafters,chunk_01c\2bears.1cave\DJxE_WltdUR-1.mp4,"Tom Segura puts the viral breathing device to the test while Bert watches in typical fashion 😂 Via @2bears.1cave

#trending #tiktokmademebuyit #nasalbreathing #breathwork #podcast #comedy #2bears1cave",failed,0,2025-12-13T20:51:49.519989,2025-12-13T20:56:26.486677,try again later,1,,,actionblocked
DK3REr1oC0r-1,mindsetmiccuts,chunk_01c\2bears.1cave\DK3REr1oC0r-1.mp4,"Tom Segura's reaction to these gifts from Bart Kreischer hits different when you realize the thought that went into each one 🎁 Over on @2bears.1cave, these two prove friendship isn't about the price tag – it's about actually knowing what makes your buddy light up. Episode 200 energy right here. #2Bears1Cave",success,3,2025-12-13T12:41:07.509688,2025-12-13T12:43:56.577247,,,,,
DPCbKmCiLQS-1,micwisdomdaily,chunk_01c\2bears.1cave\DPCbKmCiLQS-1.mp4,"Two comedy legends debate the ultimate question: whose influence runs deeper, Taylor Swift or Joe Rogan? @2bears.1cave tackles the conversation everyone's been thinking about but nobody's answering. #2Bears1Cave #taylorswift #joerogan #comedy #podcast",success,3,2025-12-13T15:44:45.130199,2025-12-13T15:47:09.591021,,0,,,
DLNBCypIVmB-2,micnotesarchive,chunk_01c\2bears.1cave\DLNBCypIVmB-2.mp4,"Tom Segura and Bert Kreischer remind us why the tough moments matter most in this clip from @2bears.1cave 🐻🐻

#2Bears1Cave #2bears1cavepodcast #comedypodcast #comedians",success,0,2025-12-13T12:41:25.113035,2025-12-13T12:43:38.012843,,,,,
DPp9eJBkbay-2,micmindvault,chunk_01c\alexjones.tv\DPp9eJBkbay-2.mp4,"According to Alex Jones and Elijah Schaffer, Candace Owens exposed how Zionist donors attempted to manipulate Charlie Kirk. @alexjones.tv breaks down this explosive revelation.

#infowars #trumpwon #maganews",success,1,2025-12-13T12:41:34.459806,2025-12-13T12:43:32.250100,,,,,
DP16sTWEZa9-1,castcoremedia,chunk_01c\alexjones.tv\DP16sTWEZa9-1.mp4,"A chilling prediction from October 2025 that demands attention. @alexjones.tv breaks down alleged NATO operations and the potential escalation toward global conflict. What really happened behind closed doors? The pieces are coming together.

#infowars #trumpwon #maganews",success,4,2025-12-13T12:42:07.552437,2025-12-13T12:45:31.455547,,,,,
DPzZGHOEY7S-2,bitepodmedia,chunk_01c\alexjones.tv\DPzZGHOEY7S-2.mp4,Behind the scenes of a media empire's final chapter—Ed Martin's rescue attempt for INFOWARS hit a wall when Todd Blanche pulled the plug. The full story from @alexjones.tv breaks down what really happened. #infowars #trumpwon #maganews,success,1,2025-12-13T12:43:42.346791,2025-12-13T12:46:04.050472,,,,,
DQckPhJkQpL-2,bitecastclips,chunk_01c\alexjones.tv\DQckPhJkQpL-2.mp4,"Behind closed doors at the Pentagon, preparations are underway for something most Americans aren't talking about yet. @alexjones.tv breaks down Trump's directive on potential welfare riots and civil unrest in this October 30th, 2025 emergency broadcast.

#infowars #trumpwon #maganews #ebt",success,0,2025-12-13T12:43:48.108162,2025-12-13T12:48:07.021275,,,,,
DQ2XdLzgCze-1,clipsonairwave,chunk_01c\alexjones.tv\DQ2XdLzgCze-1.mp4,"A chilling prophecy from the medical establishment: Dr. Anthony Fauci and Dr. Peter Hotez have issued warnings about a coming pandemic under Trump's watch—but this time, resistance could mean arrest. @alexjones.tv breaks down what they're calling ""Disease X"" and why 2025 has officials sounding the alarm on enforcement measures that would make previous mandates look tame.

#AlexJones #DiseaseX #AnthonyFauci #PeterHotez #Pandemic2025 #Trump #MedicalTyranny #Freedom #WakeUp #Resistance #PublicHealth #EmergencyReport #InfoWars #StayAlert",success,0,2025-12-13T15:55:39.803933,2025-12-13T15:59:09.652318,,1,,,
DQe9wrYEUcp-1,archipelago_one,chunk_01c\alexjones.tv\DQe9wrYEUcp-1.mp4,"Venezuela might be next on the radar according to this breakdown from @alexjones.tv. Alex Jones discusses Trump's potential military move that could shift everything. Drop your thoughts below. 10/31/25

#infowars #trumpwon #maganews #ebt",success,1,2025-12-13T20:52:49.498677,2025-12-13T20:57:03.836228,,0,,,
DQNCEydkSxQ-1,warlordregent,chunk_01c\alexjones.tv\DQNCEydkSxQ-1.mp4,"The declaration that's got everyone talking: Alex Jones delivers a powerful message about Team Humanity's inevitable victory over the New World Order. @alexjones.tv isn't holding back in this one. 🔥

#infowars #trumpwon #maganews",success,4,2025-12-13T12:45:41.537913,2025-12-13T12:52:27.268634,,,,,
DQCvFGkkfVk-1,thequietbaron,chunk_01c\alexjones.tv\DQCvFGkkfVk-1.mp4,"The timing couldn't be more suspicious. As Trump's recovery gains momentum, certain forces seem determined to derail it – and @alexjones.tv isn't holding back on calling it out. He breaks down exactly what's happening behind the scenes and why Democrats are scrambling. October 20th, 2025.

#infowars #trumpwon #maganews",success,1,2025-12-13T12:46:14.147640,2025-12-13T12:52:24.644417,,,,,
